created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-03-01 00:01:27 UTC,0.94,1.16,1.41,75.0,30.0,1.16
2020-03-01 00:03:24 UTC,0.93,1.25,1.25,75.0,30.0,1.25
2020-03-01 00:05:28 UTC,0.86,1.16,1.16,75.0,31.0,1.16
2020-03-01 00:07:24 UTC,1.16,1.84,1.88,75.0,31.0,1.84
2020-03-01 00:09:23 UTC,0.52,0.88,1.0,74.0,32.0,0.88
2020-03-01 00:11:27 UTC,0.88,1.17,1.18,75.0,32.0,1.17
2020-03-01 00:13:24 UTC,0.9,1.17,1.17,74.0,32.0,1.17
2020-03-01 00:15:23 UTC,1.17,1.79,1.87,74.0,33.0,1.79
2020-03-01 00:17:23 UTC,0.91,1.09,1.09,74.0,33.0,1.09
2020-03-01 00:19:23 UTC,0.87,1.51,1.51,74.0,32.0,1.51
2020-03-01 00:21:26 UTC,0.84,1.35,1.35,74.0,33.0,1.35
2020-03-01 00:23:30 UTC,0.78,1.54,1.61,74.0,33.0,1.54
2020-03-01 00:25:26 UTC,0.97,1.09,1.25,74.0,33.0,1.09
2020-03-01 00:27:22 UTC,1.0,1.34,1.34,74.0,33.0,1.34
2020-03-01 00:29:25 UTC,0.91,1.21,1.21,73.0,33.0,1.21
2020-03-01 00:31:24 UTC,1.1,1.75,1.83,74.0,33.0,1.75
2020-03-01 00:33:27 UTC,1.25,1.69,2.16,74.0,33.0,1.69
2020-03-01 00:35:24 UTC,1.28,2.1,2.48,73.0,33.0,2.1
2020-03-01 00:37:26 UTC,1.21,1.56,1.81,73.0,33.0,1.56
2020-03-01 00:39:24 UTC,1.0,1.22,1.69,73.0,33.0,1.22
2020-03-01 00:41:25 UTC,1.0,1.46,1.46,73.0,33.0,1.46
2020-03-01 00:43:25 UTC,0.88,1.65,2.0,73.0,33.0,1.65
2020-03-01 00:45:24 UTC,1.36,1.82,2.22,73.0,33.0,1.82
2020-03-01 00:47:24 UTC,1.22,1.54,1.79,73.0,33.0,1.54
2020-03-01 00:49:24 UTC,1.21,1.7,1.97,73.0,33.0,1.7
2020-03-01 00:51:23 UTC,0.94,1.48,1.52,73.0,33.0,1.48
