created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-03-01 00:01:51 UTC,1.03,1.77,3.35,77.0,28.0,1.77
2020-03-01 00:03:52 UTC,1.19,1.57,1.59,77.0,28.0,1.57
2020-03-01 00:05:51 UTC,1.17,1.74,2.51,77.0,29.0,1.74
2020-03-01 00:07:51 UTC,0.8,1.61,1.88,76.0,29.0,1.61
2020-03-01 00:09:52 UTC,0.97,1.85,2.76,77.0,30.0,1.85
2020-03-01 00:11:53 UTC,1.09,2.45,3.16,76.0,30.0,2.45
2020-03-01 00:13:51 UTC,0.68,1.35,1.62,76.0,30.0,1.35
2020-03-01 00:15:52 UTC,0.8,1.61,2.03,76.0,30.0,1.61
2020-03-01 00:17:52 UTC,0.76,1.46,1.46,76.0,30.0,1.46
2020-03-01 00:19:52 UTC,0.66,1.12,1.21,76.0,31.0,1.12
2020-03-01 00:21:51 UTC,1.03,1.7,2.04,76.0,31.0,1.7
2020-03-01 00:23:52 UTC,0.43,0.91,2.16,76.0,31.0,0.91
2020-03-01 00:25:52 UTC,0.78,1.8,2.02,76.0,31.0,1.8
2020-03-01 00:27:52 UTC,0.56,1.62,1.79,76.0,31.0,1.62
2020-03-01 00:29:51 UTC,0.97,1.67,2.19,75.0,31.0,1.67
2020-03-01 00:31:51 UTC,0.94,1.76,2.0,75.0,31.0,1.76
2020-03-01 00:33:52 UTC,1.03,2.03,2.3,75.0,31.0,2.03
2020-03-01 00:35:52 UTC,0.74,1.86,2.22,75.0,31.0,1.86
2020-03-01 00:37:52 UTC,0.94,2.08,3.1,75.0,31.0,2.08
2020-03-01 00:39:52 UTC,1.59,2.76,3.23,75.0,31.0,2.76
2020-03-01 00:41:51 UTC,0.71,1.51,2.49,74.0,32.0,1.51
2020-03-01 00:43:51 UTC,1.41,2.31,3.93,75.0,31.0,2.31
2020-03-01 00:45:52 UTC,1.09,2.4,2.71,74.0,32.0,2.4
2020-03-01 00:47:52 UTC,1.01,1.71,2.14,74.0,31.0,1.71
2020-03-01 00:49:52 UTC,1.04,1.34,1.34,74.0,32.0,1.34
2020-03-01 00:51:52 UTC,1.1,1.75,1.93,74.0,32.0,1.75
2020-03-01 00:53:52 UTC,2.46,5.17,7.54,74.0,32.0,5.17
2020-03-01 00:55:52 UTC,1.57,3.38,5.07,74.0,32.0,3.38
2020-03-01 00:57:52 UTC,0.8,2.86,3.35,74.0,32.0,2.86
2020-03-01 00:59:52 UTC,1.38,2.12,2.61,74.0,32.0,2.12
2020-03-01 01:01:51 UTC,0.87,1.66,2.16,74.0,32.0,1.66
2020-03-01 01:03:52 UTC,1.1,2.16,2.49,73.0,32.0,2.16
2020-03-01 01:05:51 UTC,0.35,1.04,1.29,74.0,32.0,1.04
2020-03-01 01:07:51 UTC,0.68,2.12,3.0,73.0,33.0,2.12
2020-03-01 01:09:51 UTC,1.18,2.11,2.88,73.0,33.0,2.11
2020-03-01 01:11:51 UTC,1.43,2.62,2.79,74.0,32.0,2.62
2020-03-01 01:13:51 UTC,0.57,1.07,1.79,73.0,32.0,1.07
2020-03-01 01:15:52 UTC,1.73,2.56,3.08,73.0,32.0,2.56
2020-03-01 01:17:51 UTC,1.04,1.41,1.81,73.0,33.0,1.41
2020-03-01 01:19:51 UTC,0.94,1.56,1.86,73.0,32.0,1.56
2020-03-01 01:21:51 UTC,1.16,2.41,2.83,72.0,33.0,2.41
2020-03-01 01:23:52 UTC,1.45,2.57,3.06,72.0,33.0,2.57
2020-03-01 01:25:51 UTC,0.97,1.71,2.83,73.0,33.0,1.71
2020-03-01 01:27:52 UTC,0.93,1.87,2.42,73.0,33.0,1.87
2020-03-01 01:29:51 UTC,0.8,1.67,1.86,72.0,33.0,1.67
2020-03-01 01:31:51 UTC,0.81,1.57,1.7,72.0,33.0,1.57
2020-03-01 01:33:52 UTC,0.64,1.25,2.0,72.0,33.0,1.25
2020-03-01 01:35:51 UTC,0.31,0.87,1.12,72.0,34.0,0.87
2020-03-01 01:37:52 UTC,0.21,0.97,1.93,72.0,34.0,0.97
2020-03-01 01:39:52 UTC,0.77,1.67,2.32,72.0,34.0,1.67
2020-03-01 01:41:50 UTC,0.78,2.28,2.62,72.0,34.0,2.28
2020-03-01 01:43:52 UTC,0.56,1.16,1.62,72.0,34.0,1.16
2020-03-01 01:45:53 UTC,0.4,0.93,0.99,72.0,34.0,0.93
2020-03-01 01:47:55 UTC,0.46,1.39,1.9,71.0,35.0,1.39
2020-03-01 01:49:53 UTC,0.74,1.81,2.4,71.0,35.0,1.81
2020-03-01 01:51:52 UTC,0.61,1.01,1.75,72.0,35.0,1.01
2020-03-01 01:53:52 UTC,0.61,1.09,1.33,72.0,35.0,1.09
2020-03-01 01:55:51 UTC,1.16,1.79,1.79,71.0,35.0,1.79
2020-03-01 01:57:52 UTC,0.82,1.61,1.75,71.0,36.0,1.61
2020-03-01 01:59:52 UTC,0.7,1.83,2.62,71.0,36.0,1.83
2020-03-01 02:01:51 UTC,0.96,1.77,2.58,71.0,36.0,1.77
2020-03-01 02:03:52 UTC,0.76,1.11,1.89,71.0,36.0,1.11
2020-03-01 02:05:51 UTC,0.88,1.2,1.36,71.0,37.0,1.2
2020-03-01 02:07:51 UTC,0.42,1.3,1.3,71.0,37.0,1.3
2020-03-01 02:09:52 UTC,0.51,1.13,1.13,71.0,37.0,1.13
2020-03-01 02:11:51 UTC,1.03,1.54,2.06,71.0,37.0,1.54
2020-03-01 02:13:52 UTC,0.66,1.54,2.26,71.0,38.0,1.54
2020-03-01 02:15:51 UTC,0.59,0.79,1.28,71.0,38.0,0.79
2020-03-01 02:17:51 UTC,0.51,1.2,1.2,70.0,38.0,1.2
2020-03-01 02:19:52 UTC,0.63,1.21,1.33,70.0,38.0,1.21
2020-03-01 02:21:53 UTC,0.39,0.8,1.19,70.0,39.0,0.8
2020-03-01 02:23:51 UTC,0.62,1.24,1.24,70.0,39.0,1.24
2020-03-01 02:25:51 UTC,0.43,1.32,1.51,70.0,39.0,1.32
2020-03-01 02:27:52 UTC,1.13,1.8,2.28,70.0,39.0,1.8
2020-03-01 02:29:52 UTC,1.14,1.91,1.91,70.0,39.0,1.91
2020-03-01 02:31:51 UTC,1.01,1.56,1.56,70.0,40.0,1.56
2020-03-01 02:33:52 UTC,0.12,0.75,1.31,70.0,40.0,0.75
2020-03-01 02:35:52 UTC,0.46,0.72,1.16,70.0,41.0,0.72
2020-03-01 02:37:51 UTC,0.5,1.13,1.59,70.0,41.0,1.13
2020-03-01 02:39:51 UTC,0.19,0.72,1.24,70.0,41.0,0.72
2020-03-01 02:41:51 UTC,0.67,1.19,1.39,69.0,41.0,1.19
2020-03-01 02:43:51 UTC,0.58,1.25,1.38,69.0,42.0,1.25
2020-03-01 02:45:51 UTC,0.66,0.99,1.28,69.0,42.0,0.99
2020-03-01 02:47:51 UTC,0.39,0.93,1.49,69.0,42.0,0.93
2020-03-01 02:49:51 UTC,0.54,1.32,1.43,69.0,42.0,1.32
2020-03-01 02:51:52 UTC,0.38,0.97,1.6,69.0,42.0,0.97
2020-03-01 02:53:52 UTC,0.24,0.7,0.7,69.0,43.0,0.7
2020-03-01 02:55:51 UTC,0.38,1.01,1.91,69.0,43.0,1.01
2020-03-01 02:57:53 UTC,0.17,0.81,0.81,69.0,43.0,0.81
