created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-03-01 00:00:10 UTC,0.68,1.09,1.09,76.0,28.0,1.09
2020-03-01 00:02:10 UTC,0.85,1.61,2.03,76.0,28.0,1.61
2020-03-01 00:04:10 UTC,0.51,1.41,1.55,76.0,29.0,1.41
2020-03-01 00:06:09 UTC,0.96,1.6,2.43,76.0,29.0,1.6
2020-03-01 00:08:09 UTC,0.83,1.48,2.17,76.0,30.0,1.48
2020-03-01 00:10:10 UTC,1.24,2.54,3.61,75.0,30.0,2.54
2020-03-01 00:12:08 UTC,0.81,1.64,2.19,75.0,31.0,1.64
2020-03-01 00:14:10 UTC,0.56,0.93,2.22,75.0,30.0,0.93
2020-03-01 00:16:12 UTC,0.88,1.54,2.01,75.0,30.0,1.54
2020-03-01 00:18:09 UTC,0.88,1.52,2.52,75.0,30.0,1.52
2020-03-01 00:20:09 UTC,1.0,1.7,2.36,75.0,31.0,1.7
2020-03-01 00:22:09 UTC,0.7,1.83,2.17,75.0,30.0,1.83
2020-03-01 00:24:10 UTC,0.86,1.61,1.67,75.0,31.0,1.61
2020-03-01 00:26:10 UTC,0.79,1.71,2.63,74.0,31.0,1.71
2020-03-01 00:28:10 UTC,0.72,1.58,2.09,74.0,31.0,1.58
2020-03-01 00:30:10 UTC,0.41,1.1,1.19,74.0,31.0,1.1
2020-03-01 00:32:10 UTC,1.12,2.21,3.1,74.0,31.0,2.21
2020-03-01 00:34:09 UTC,1.01,1.81,1.99,74.0,31.0,1.81
2020-03-01 00:36:08 UTC,0.4,1.19,1.36,74.0,31.0,1.19
2020-03-01 00:38:10 UTC,0.99,2.12,2.36,74.0,31.0,2.12
2020-03-01 00:40:10 UTC,1.12,2.22,2.78,74.0,31.0,2.22
2020-03-01 00:42:11 UTC,0.94,1.74,1.98,74.0,31.0,1.74
2020-03-01 00:44:12 UTC,1.06,2.01,2.62,74.0,32.0,2.01
2020-03-01 00:46:11 UTC,0.88,2.1,2.65,74.0,31.0,2.1
2020-03-01 00:48:10 UTC,1.13,1.66,2.64,74.0,31.0,1.66
2020-03-01 00:50:12 UTC,0.72,1.57,2.57,73.0,32.0,1.57
2020-03-01 00:52:10 UTC,1.07,1.85,2.35,74.0,32.0,1.85
2020-03-01 00:54:10 UTC,1.19,2.04,2.04,73.0,32.0,2.04
2020-03-01 00:56:09 UTC,0.97,1.99,2.49,73.0,32.0,1.99
2020-03-01 00:58:09 UTC,1.22,3.04,3.6,73.0,32.0,3.04
2020-03-01 01:00:10 UTC,0.85,2.16,3.28,73.0,32.0,2.16
2020-03-01 01:02:09 UTC,1.33,1.91,2.59,73.0,32.0,1.91
2020-03-01 01:04:12 UTC,0.77,1.7,2.9,73.0,32.0,1.7
2020-03-01 01:06:10 UTC,1.07,2.19,2.82,73.0,32.0,2.19
2020-03-01 01:08:10 UTC,1.04,2.01,2.01,73.0,32.0,2.01
2020-03-01 01:10:10 UTC,0.81,1.74,2.69,73.0,32.0,1.74
2020-03-01 01:12:09 UTC,0.87,2.21,2.91,73.0,32.0,2.21
2020-03-01 01:14:10 UTC,1.01,1.71,1.97,72.0,33.0,1.71
2020-03-01 01:16:09 UTC,0.89,2.11,2.48,73.0,32.0,2.11
2020-03-01 01:18:10 UTC,0.85,1.72,1.97,73.0,32.0,1.72
2020-03-01 01:20:12 UTC,0.84,1.8,1.97,72.0,32.0,1.8
2020-03-01 01:22:10 UTC,0.81,2.01,2.84,72.0,33.0,2.01
2020-03-01 01:24:09 UTC,1.15,1.76,2.38,72.0,33.0,1.76
2020-03-01 01:26:10 UTC,1.08,1.88,2.38,72.0,33.0,1.88
2020-03-01 01:28:10 UTC,0.83,1.61,2.49,72.0,33.0,1.61
2020-03-01 01:30:11 UTC,0.83,2.0,2.96,72.0,33.0,2.0
2020-03-01 01:32:13 UTC,0.88,1.4,1.63,72.0,33.0,1.4
2020-03-01 01:34:10 UTC,0.93,1.31,1.31,72.0,33.0,1.31
2020-03-01 01:36:10 UTC,0.96,1.54,2.38,72.0,33.0,1.54
2020-03-01 01:38:10 UTC,0.94,1.47,1.71,72.0,34.0,1.47
2020-03-01 01:40:10 UTC,0.81,1.77,1.96,71.0,34.0,1.77
2020-03-01 01:42:10 UTC,1.21,2.39,2.74,71.0,34.0,2.39
2020-03-01 01:44:09 UTC,0.71,1.68,2.31,72.0,34.0,1.68
2020-03-01 01:46:10 UTC,0.97,2.04,3.09,71.0,34.0,2.04
2020-03-01 01:48:10 UTC,1.0,1.97,2.36,71.0,34.0,1.97
2020-03-01 01:50:16 UTC,0.91,1.91,2.78,71.0,35.0,1.91
2020-03-01 01:52:12 UTC,0.61,0.96,1.19,71.0,35.0,0.96
2020-03-01 01:54:09 UTC,0.96,1.76,2.01,71.0,35.0,1.76
2020-03-01 01:56:10 UTC,1.11,2.01,2.83,71.0,35.0,2.01
2020-03-01 01:58:09 UTC,1.07,2.03,2.33,71.0,36.0,2.03
2020-03-01 02:00:09 UTC,0.6,1.04,2.3,71.0,36.0,1.04
2020-03-01 02:02:09 UTC,1.04,1.5,1.84,71.0,36.0,1.5
2020-03-01 02:04:10 UTC,0.85,1.51,2.97,70.0,37.0,1.51
2020-03-01 02:06:11 UTC,1.13,1.81,2.35,70.0,37.0,1.81
2020-03-01 02:08:10 UTC,0.71,1.43,2.29,71.0,37.0,1.43
2020-03-01 02:10:09 UTC,0.4,1.44,2.27,71.0,37.0,1.44
2020-03-01 02:12:10 UTC,0.83,1.2,1.51,71.0,37.0,1.2
2020-03-01 02:14:10 UTC,0.41,1.26,1.41,70.0,37.0,1.26
2020-03-01 02:16:10 UTC,0.76,1.13,1.99,70.0,38.0,1.13
2020-03-01 02:18:10 UTC,0.66,1.43,1.44,70.0,38.0,1.43
2020-03-01 02:20:09 UTC,0.81,1.55,2.14,70.0,38.0,1.55
2020-03-01 02:22:11 UTC,0.68,1.36,1.64,70.0,38.0,1.36
2020-03-01 02:24:10 UTC,0.49,1.1,1.57,70.0,39.0,1.1
2020-03-01 02:26:10 UTC,0.54,1.46,1.9,70.0,39.0,1.46
2020-03-01 02:28:12 UTC,0.72,1.49,2.18,69.0,40.0,1.49
2020-03-01 02:30:09 UTC,0.87,1.63,2.03,69.0,40.0,1.63
2020-03-01 02:32:09 UTC,0.78,1.37,2.3,70.0,39.0,1.37
2020-03-01 02:34:10 UTC,0.41,1.36,2.06,69.0,40.0,1.36
2020-03-01 02:36:10 UTC,0.51,1.26,1.26,69.0,40.0,1.26
2020-03-01 02:38:11 UTC,0.79,1.14,1.14,69.0,41.0,1.14
2020-03-01 02:40:12 UTC,0.64,1.13,1.46,69.0,41.0,1.13
2020-03-01 02:42:10 UTC,0.49,1.33,1.78,69.0,41.0,1.33
2020-03-01 02:44:10 UTC,0.61,1.32,1.7,69.0,41.0,1.32
2020-03-01 02:46:12 UTC,0.29,1.09,1.26,69.0,41.0,1.09
2020-03-01 02:48:12 UTC,0.4,1.53,3.06,69.0,42.0,1.53
2020-03-01 02:50:10 UTC,0.39,1.08,1.98,69.0,41.0,1.08
2020-03-01 02:52:10 UTC,0.74,1.09,1.53,68.0,43.0,1.09
2020-03-01 02:54:09 UTC,0.79,1.55,1.63,68.0,43.0,1.55
2020-03-01 02:56:10 UTC,0.72,1.91,2.12,69.0,43.0,1.91
2020-03-01 02:58:12 UTC,0.67,1.33,1.84,69.0,43.0,1.33
2020-03-01 03:00:10 UTC,0.55,0.87,1.13,69.0,43.0,0.87
2020-03-01 03:02:11 UTC,0.62,1.28,1.93,69.0,43.0,1.28
2020-03-01 03:04:09 UTC,0.69,1.16,1.74,69.0,43.0,1.16
2020-03-01 03:06:10 UTC,0.57,1.21,1.46,69.0,44.0,1.21
2020-03-01 03:08:10 UTC,0.77,1.8,1.8,68.0,44.0,1.8
2020-03-01 03:10:10 UTC,0.51,0.96,1.23,68.0,44.0,0.96
2020-03-01 03:12:10 UTC,0.48,1.55,2.59,68.0,44.0,1.55
