created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-03-01 00:00:13 UTC,0.71,1.1,1.76,76.0,30.0,1.1
2020-03-01 00:02:14 UTC,0.91,1.55,2.16,76.0,30.0,1.55
2020-03-01 00:04:12 UTC,0.72,1.32,1.7,76.0,31.0,1.32
2020-03-01 00:06:14 UTC,0.72,1.25,1.48,76.0,31.0,1.25
2020-03-01 00:08:13 UTC,0.86,1.45,1.99,75.0,32.0,1.45
2020-03-01 00:10:13 UTC,0.34,0.85,1.29,76.0,32.0,0.85
2020-03-01 00:12:13 UTC,0.88,1.27,1.64,76.0,32.0,1.27
2020-03-01 00:14:14 UTC,0.99,1.86,2.46,75.0,32.0,1.86
2020-03-01 00:16:13 UTC,0.69,1.34,1.34,75.0,33.0,1.34
2020-03-01 00:18:14 UTC,1.46,2.01,2.01,75.0,33.0,2.01
2020-03-01 00:20:14 UTC,0.91,1.84,1.84,75.0,34.0,1.84
2020-03-01 00:22:13 UTC,0.72,1.55,1.74,75.0,33.0,1.55
2020-03-01 00:24:13 UTC,0.96,1.49,1.49,74.0,34.0,1.49
2020-03-01 00:26:14 UTC,0.47,1.14,1.14,74.0,34.0,1.14
2020-03-01 00:28:14 UTC,0.77,1.5,1.92,74.0,34.0,1.5
2020-03-01 00:30:14 UTC,0.68,1.43,1.77,74.0,33.0,1.43
2020-03-01 00:32:12 UTC,1.0,1.78,1.78,74.0,34.0,1.78
2020-03-01 00:34:14 UTC,0.87,1.53,2.86,74.0,34.0,1.53
2020-03-01 00:36:14 UTC,0.97,1.84,2.2,74.0,34.0,1.84
2020-03-01 00:38:15 UTC,1.06,1.64,1.97,74.0,34.0,1.64
2020-03-01 00:40:14 UTC,0.83,1.97,2.82,74.0,34.0,1.97
2020-03-01 00:42:14 UTC,0.63,1.76,1.76,73.0,34.0,1.76
2020-03-01 00:44:14 UTC,0.87,1.49,1.97,74.0,34.0,1.49
2020-03-01 00:46:13 UTC,1.01,1.78,1.78,74.0,34.0,1.78
2020-03-01 00:48:13 UTC,1.18,1.7,2.0,74.0,34.0,1.7
2020-03-01 00:50:13 UTC,0.97,1.63,1.88,74.0,34.0,1.63
2020-03-01 00:52:14 UTC,1.35,1.91,1.91,74.0,34.0,1.91
2020-03-01 00:54:13 UTC,1.09,2.37,2.6,73.0,35.0,2.37
2020-03-01 00:56:14 UTC,1.07,1.94,2.1,74.0,34.0,1.94
2020-03-01 00:58:14 UTC,0.51,1.52,1.68,73.0,34.0,1.52
2020-03-01 01:00:14 UTC,0.87,1.55,1.93,73.0,34.0,1.55
2020-03-01 01:02:12 UTC,1.21,2.15,2.48,74.0,34.0,2.15
2020-03-01 01:04:13 UTC,0.89,1.46,1.58,73.0,34.0,1.46
2020-03-01 01:06:14 UTC,0.59,1.36,1.8,73.0,34.0,1.36
2020-03-01 01:08:12 UTC,1.22,2.42,2.88,73.0,34.0,2.42
2020-03-01 01:10:13 UTC,1.38,2.39,2.67,73.0,34.0,2.39
2020-03-01 01:12:16 UTC,0.91,1.93,2.06,73.0,34.0,1.93
2020-03-01 01:14:13 UTC,0.89,1.51,2.3,73.0,34.0,1.51
2020-03-01 01:16:15 UTC,1.07,1.88,2.06,73.0,34.0,1.88
2020-03-01 01:18:13 UTC,0.65,1.29,1.29,73.0,34.0,1.29
2020-03-01 01:20:12 UTC,1.07,1.88,1.99,73.0,34.0,1.88
2020-03-01 01:22:14 UTC,1.13,2.0,2.67,73.0,35.0,2.0
2020-03-01 01:24:14 UTC,1.19,1.89,2.14,73.0,35.0,1.89
2020-03-01 01:26:14 UTC,0.89,1.67,2.24,73.0,35.0,1.67
2020-03-01 01:28:13 UTC,0.55,0.85,1.61,73.0,35.0,0.85
2020-03-01 01:30:14 UTC,0.47,1.0,1.06,72.0,35.0,1.0
2020-03-01 01:32:14 UTC,0.56,1.29,1.68,72.0,35.0,1.29
2020-03-01 01:34:13 UTC,0.46,1.06,1.06,72.0,35.0,1.06
2020-03-01 01:36:13 UTC,0.55,0.88,1.15,72.0,36.0,0.88
2020-03-01 01:38:16 UTC,0.46,0.96,1.94,72.0,36.0,0.96
2020-03-01 01:40:14 UTC,0.51,1.01,1.42,72.0,36.0,1.01
2020-03-01 01:42:16 UTC,1.0,1.97,2.84,71.0,36.0,1.97
2020-03-01 01:44:14 UTC,0.29,1.14,1.14,71.0,37.0,1.14
2020-03-01 01:46:14 UTC,0.65,1.19,1.41,72.0,37.0,1.19
2020-03-01 01:48:14 UTC,0.46,1.01,1.54,71.0,37.0,1.01
2020-03-01 01:50:13 UTC,0.69,1.19,1.19,71.0,37.0,1.19
2020-03-01 01:52:14 UTC,0.75,1.79,2.01,71.0,37.0,1.79
2020-03-01 01:54:14 UTC,0.17,0.86,1.37,71.0,38.0,0.86
2020-03-01 01:56:15 UTC,0.74,1.17,1.17,71.0,38.0,1.17
2020-03-01 01:58:13 UTC,0.56,1.55,2.08,71.0,38.0,1.55
2020-03-01 02:00:16 UTC,0.94,1.49,1.94,71.0,38.0,1.49
2020-03-01 02:02:13 UTC,0.84,1.33,1.9,71.0,38.0,1.33
2020-03-01 02:04:14 UTC,0.45,1.03,1.44,71.0,39.0,1.03
