created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,Pressure_hpa,PM2.5_ATM_ug/m3
2020-03-01 00:01:38 UTC,0.91,1.57,1.86,997.4,1.57
2020-03-01 00:03:35 UTC,0.81,1.2,1.46,997.31,1.2
2020-03-01 00:05:38 UTC,0.56,1.03,1.59,997.37,1.03
2020-03-01 00:07:36 UTC,0.84,1.38,1.76,997.37,1.38
2020-03-01 00:09:35 UTC,0.78,1.53,2.29,997.45,1.53
2020-03-01 00:11:36 UTC,0.77,1.5,1.5,997.5,1.5
2020-03-01 00:13:38 UTC,0.79,1.4,1.4,997.58,1.4
2020-03-01 00:15:33 UTC,0.38,1.09,1.13,997.43,1.09
2020-03-01 00:17:37 UTC,0.99,1.63,1.9,997.42,1.63
2020-03-01 00:19:37 UTC,0.38,0.76,0.76,997.57,0.76
2020-03-01 00:21:57 UTC,0.99,1.5,1.97,997.56,1.5
2020-03-01 00:23:36 UTC,0.92,1.35,2.73,997.57,1.35
2020-03-01 00:25:37 UTC,0.76,1.57,1.83,997.46,1.57
2020-03-01 00:27:36 UTC,0.91,1.36,1.68,997.54,1.36
2020-03-01 00:29:34 UTC,0.6,1.16,1.63,997.59,1.16
2020-03-01 00:31:37 UTC,0.57,1.03,1.34,997.61,1.03
2020-03-01 00:33:38 UTC,0.62,1.47,1.68,997.7,1.47
2020-03-01 00:35:38 UTC,0.47,0.6,0.89,997.69,0.6
2020-03-01 00:37:37 UTC,0.51,0.68,0.99,997.62,0.68
2020-03-01 00:39:36 UTC,1.01,1.56,1.99,997.78,1.56
2020-03-01 00:41:34 UTC,0.72,1.39,1.67,997.81,1.39
2020-03-01 00:43:37 UTC,0.81,1.2,1.2,997.84,1.2
2020-03-01 00:45:35 UTC,0.48,1.13,1.46,997.8,1.13
2020-03-01 00:47:35 UTC,0.72,1.54,1.82,997.87,1.54
2020-03-01 00:49:35 UTC,0.81,0.96,1.38,997.93,0.96
2020-03-01 00:51:34 UTC,0.2,0.9,0.9,997.89,0.9
2020-03-01 00:53:54 UTC,0.62,1.35,1.35,997.97,1.35
2020-03-01 00:55:33 UTC,0.49,0.85,1.04,997.99,0.85
2020-03-01 00:57:35 UTC,0.42,0.88,1.17,997.89,0.88
2020-03-01 00:59:36 UTC,0.54,0.75,1.18,997.89,0.75
2020-03-01 01:01:36 UTC,0.52,1.14,1.44,997.5,1.14
2020-03-01 01:03:36 UTC,0.49,0.97,1.42,997.97,0.97
2020-03-01 01:05:37 UTC,0.35,0.8,1.15,998.0,0.8
2020-03-01 01:07:35 UTC,0.84,1.22,1.78,997.97,1.22
2020-03-01 01:09:36 UTC,0.49,0.97,2.41,997.99,0.97
2020-03-01 01:11:34 UTC,0.67,0.96,1.51,998.11,0.96
2020-03-01 01:13:37 UTC,0.63,1.03,1.03,997.99,1.03
2020-03-01 01:15:37 UTC,0.6,1.06,1.06,997.98,1.06
2020-03-01 01:17:34 UTC,0.19,0.74,0.74,997.87,0.74
2020-03-01 01:19:37 UTC,0.31,0.97,1.41,997.89,0.97
2020-03-01 01:21:33 UTC,0.16,0.96,1.69,997.83,0.96
2020-03-01 01:23:37 UTC,0.67,1.06,1.06,997.84,1.06
2020-03-01 01:25:36 UTC,0.72,0.96,1.18,997.86,0.96
2020-03-01 01:27:37 UTC,0.36,1.06,1.4,997.92,1.06
2020-03-01 01:29:37 UTC,0.43,0.91,1.14,997.91,0.91
2020-03-01 01:31:35 UTC,0.03,0.38,0.38,997.82,0.38
2020-03-01 01:33:39 UTC,0.3,0.84,0.84,997.9,0.84
2020-03-01 01:35:37 UTC,0.34,0.84,1.27,997.93,0.84
2020-03-01 01:37:33 UTC,0.0,0.63,1.41,998.02,0.63
2020-03-01 01:39:38 UTC,0.59,1.17,1.17,997.87,1.17
2020-03-01 01:41:34 UTC,0.15,0.93,1.19,997.93,0.93
2020-03-01 01:43:36 UTC,0.39,1.09,1.38,998.1,1.09
2020-03-01 01:45:34 UTC,0.13,0.97,1.06,998.1,0.97
2020-03-01 01:47:37 UTC,0.28,0.9,1.12,998.09,0.9
2020-03-01 01:49:37 UTC,0.25,0.87,1.22,998.01,0.87
2020-03-01 01:51:36 UTC,0.52,1.2,1.97,997.98,1.2
2020-03-01 01:53:34 UTC,0.1,0.76,1.49,998.0,0.76
2020-03-01 01:55:41 UTC,0.04,0.72,0.76,997.95,0.72
2020-03-01 01:57:37 UTC,0.04,0.9,0.9,998.01,0.9
2020-03-01 01:59:37 UTC,0.09,0.84,1.09,998.03,0.84
2020-03-01 02:01:35 UTC,0.33,1.11,1.21,998.09,1.11
2020-03-01 02:03:38 UTC,0.25,0.97,1.35,998.03,0.97
2020-03-01 02:05:35 UTC,0.0,0.57,0.85,998.1,0.57
2020-03-01 02:07:36 UTC,0.11,0.69,0.69,998.05,0.69
2020-03-01 02:09:36 UTC,0.0,0.42,0.61,998.15,0.42
2020-03-01 02:11:34 UTC,0.14,0.96,0.96,998.07,0.96
2020-03-01 02:13:56 UTC,0.16,0.81,0.81,998.09,0.81
