created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-03-01 00:00:26 UTC,0.03,0.5,0.78,76.0,31.0,0.5
2020-03-01 00:02:26 UTC,0.34,1.08,1.41,76.0,31.0,1.08
2020-03-01 00:04:25 UTC,0.25,0.77,1.0,75.0,32.0,0.77
2020-03-01 00:06:26 UTC,0.37,0.67,1.2,75.0,32.0,0.67
2020-03-01 00:08:26 UTC,0.1,0.38,0.38,75.0,32.0,0.38
2020-03-01 00:10:26 UTC,0.43,0.97,0.97,75.0,33.0,0.97
2020-03-01 00:12:26 UTC,0.53,1.11,1.11,75.0,33.0,1.11
2020-03-01 00:14:26 UTC,0.11,0.6,0.6,75.0,33.0,0.6
2020-03-01 00:16:26 UTC,0.13,0.56,0.77,75.0,33.0,0.56
2020-03-01 00:18:25 UTC,0.0,0.27,0.47,75.0,33.0,0.27
2020-03-01 00:20:26 UTC,0.09,0.49,0.52,74.0,33.0,0.49
2020-03-01 00:22:26 UTC,0.09,0.81,1.23,75.0,34.0,0.81
2020-03-01 00:24:26 UTC,0.28,0.82,0.82,74.0,34.0,0.82
2020-03-01 00:26:25 UTC,0.36,0.86,0.86,74.0,33.0,0.86
2020-03-01 00:28:26 UTC,0.36,0.87,1.0,74.0,34.0,0.87
2020-03-01 00:30:26 UTC,0.15,0.68,0.81,74.0,34.0,0.68
2020-03-01 00:32:26 UTC,0.23,1.09,1.09,74.0,34.0,1.09
2020-03-01 00:34:24 UTC,0.28,1.01,1.01,74.0,34.0,1.01
2020-03-01 00:36:25 UTC,0.23,0.86,1.05,74.0,34.0,0.86
2020-03-01 00:38:25 UTC,0.0,0.57,0.67,74.0,34.0,0.57
2020-03-01 00:40:26 UTC,0.16,0.67,0.78,74.0,34.0,0.67
2020-03-01 00:42:25 UTC,0.0,0.24,0.24,73.0,34.0,0.24
2020-03-01 00:44:25 UTC,0.18,0.65,0.73,73.0,34.0,0.65
2020-03-01 00:46:25 UTC,0.0,0.31,0.53,74.0,34.0,0.31
2020-03-01 00:48:25 UTC,0.0,0.49,0.49,73.0,34.0,0.49
2020-03-01 00:50:25 UTC,0.18,0.85,1.03,73.0,34.0,0.85
