created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-03-01 00:01:53 UTC,0.91,1.48,1.91,74.0,30.0,1.48
2020-03-01 00:03:52 UTC,0.55,1.04,1.04,74.0,30.0,1.04
2020-03-01 00:05:52 UTC,0.89,1.75,1.75,73.0,30.0,1.75
2020-03-01 00:07:52 UTC,0.81,1.61,2.32,74.0,31.0,1.61
2020-03-01 00:09:53 UTC,0.37,1.25,1.67,74.0,31.0,1.25
2020-03-01 00:11:53 UTC,1.03,2.04,2.12,74.0,32.0,2.04
2020-03-01 00:13:54 UTC,0.97,1.72,1.87,74.0,32.0,1.72
2020-03-01 00:15:52 UTC,1.0,1.4,1.63,74.0,32.0,1.4
2020-03-01 00:17:52 UTC,0.85,1.27,1.97,74.0,32.0,1.27
2020-03-01 00:19:54 UTC,0.59,0.83,1.84,74.0,32.0,0.83
2020-03-01 00:21:52 UTC,0.8,1.72,1.72,73.0,32.0,1.72
2020-03-01 00:23:53 UTC,0.6,0.96,1.15,73.0,32.0,0.96
2020-03-01 00:25:52 UTC,0.7,1.42,1.64,73.0,32.0,1.42
2020-03-01 00:27:53 UTC,0.82,2.09,2.09,73.0,32.0,2.09
2020-03-01 00:29:52 UTC,0.91,1.64,2.03,73.0,32.0,1.64
2020-03-01 00:31:53 UTC,1.25,2.1,2.62,73.0,32.0,2.1
2020-03-01 00:33:52 UTC,0.8,1.8,2.0,73.0,32.0,1.8
2020-03-01 00:35:53 UTC,0.79,1.72,2.21,73.0,33.0,1.72
2020-03-01 00:37:53 UTC,1.06,1.89,1.96,73.0,33.0,1.89
2020-03-01 00:39:52 UTC,0.51,1.72,1.97,73.0,33.0,1.72
2020-03-01 00:41:53 UTC,0.8,1.7,2.7,72.0,33.0,1.7
2020-03-01 00:43:53 UTC,1.0,2.0,2.0,73.0,33.0,2.0
2020-03-01 00:45:52 UTC,0.92,1.7,1.96,72.0,33.0,1.7
2020-03-01 00:47:53 UTC,1.09,1.84,2.0,72.0,33.0,1.84
2020-03-01 00:49:52 UTC,0.76,1.46,1.46,72.0,33.0,1.46
2020-03-01 00:51:54 UTC,0.73,1.34,2.39,71.0,34.0,1.34
2020-03-01 00:53:52 UTC,0.84,1.4,2.09,72.0,33.0,1.4
2020-03-01 00:55:52 UTC,0.63,1.18,1.76,72.0,34.0,1.18
2020-03-01 00:57:53 UTC,0.94,1.5,1.79,72.0,33.0,1.5
2020-03-01 00:59:52 UTC,0.44,1.0,1.31,72.0,33.0,1.0
2020-03-01 01:01:53 UTC,0.25,1.36,1.36,72.0,33.0,1.36
2020-03-01 01:03:52 UTC,0.68,1.51,2.07,72.0,33.0,1.51
2020-03-01 01:05:53 UTC,0.7,1.25,1.25,72.0,34.0,1.25
2020-03-01 01:07:52 UTC,0.72,1.6,1.6,71.0,34.0,1.6
2020-03-01 01:09:53 UTC,0.33,1.12,1.85,71.0,34.0,1.12
2020-03-01 01:11:53 UTC,0.77,1.38,1.38,71.0,34.0,1.38
2020-03-01 01:13:52 UTC,0.82,1.26,1.82,71.0,34.0,1.26
2020-03-01 01:15:54 UTC,0.52,1.22,2.0,71.0,34.0,1.22
2020-03-01 01:17:52 UTC,0.38,1.22,1.51,71.0,34.0,1.22
2020-03-01 01:19:52 UTC,0.34,1.48,1.73,71.0,34.0,1.48
2020-03-01 01:21:52 UTC,0.64,1.25,1.79,71.0,34.0,1.25
2020-03-01 01:23:54 UTC,0.25,0.81,1.49,71.0,34.0,0.81
2020-03-01 01:25:53 UTC,0.51,0.58,1.08,71.0,34.0,0.58
2020-03-01 01:27:52 UTC,0.38,0.78,1.1,71.0,35.0,0.78
2020-03-01 01:29:54 UTC,0.41,1.23,1.68,70.0,35.0,1.23
2020-03-01 01:31:53 UTC,0.06,0.62,1.09,70.0,35.0,0.62
2020-03-01 01:33:53 UTC,0.17,0.72,1.36,70.0,35.0,0.72
2020-03-01 01:35:53 UTC,0.31,1.13,1.32,70.0,35.0,1.13
2020-03-01 01:37:52 UTC,0.21,0.77,1.21,70.0,35.0,0.77
2020-03-01 01:39:53 UTC,0.28,0.88,1.55,70.0,35.0,0.88
2020-03-01 01:41:53 UTC,0.4,0.99,1.22,70.0,35.0,0.99
2020-03-01 01:43:53 UTC,0.4,0.85,1.33,70.0,35.0,0.85
2020-03-01 01:45:53 UTC,0.77,1.24,1.24,70.0,36.0,1.24
2020-03-01 01:47:54 UTC,0.42,0.67,0.86,70.0,36.0,0.67
2020-03-01 01:49:52 UTC,0.2,1.11,1.11,70.0,36.0,1.11
2020-03-01 01:51:53 UTC,0.64,1.3,1.52,70.0,36.0,1.3
2020-03-01 01:53:52 UTC,0.0,0.97,1.07,70.0,37.0,0.97
2020-03-01 01:55:53 UTC,0.35,0.88,0.88,70.0,37.0,0.88
2020-03-01 01:57:53 UTC,0.43,1.06,1.51,70.0,37.0,1.06
