created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-03-01 00:00:16 UTC,0.78,1.49,1.63,76.0,29.0,1.49
2020-03-01 00:02:17 UTC,0.6,1.71,1.71,76.0,29.0,1.71
2020-03-01 00:04:16 UTC,0.57,1.25,1.4,76.0,30.0,1.25
2020-03-01 00:06:16 UTC,0.72,1.42,1.42,76.0,31.0,1.42
2020-03-01 00:08:15 UTC,0.87,1.43,1.47,76.0,31.0,1.43
2020-03-01 00:10:16 UTC,0.59,1.65,2.63,76.0,31.0,1.65
2020-03-01 00:12:15 UTC,1.13,1.83,1.83,76.0,32.0,1.83
2020-03-01 00:14:16 UTC,0.77,1.33,1.61,76.0,31.0,1.33
2020-03-01 00:16:16 UTC,0.75,1.22,1.66,75.0,32.0,1.22
2020-03-01 00:18:17 UTC,0.7,1.36,1.36,75.0,32.0,1.36
2020-03-01 00:20:16 UTC,1.04,2.1,2.44,75.0,33.0,2.1
2020-03-01 00:22:17 UTC,0.75,1.7,1.7,76.0,32.0,1.7
2020-03-01 00:24:15 UTC,0.74,1.34,1.34,75.0,32.0,1.34
2020-03-01 00:26:16 UTC,0.99,1.45,1.45,75.0,33.0,1.45
2020-03-01 00:28:15 UTC,0.54,1.28,1.28,75.0,33.0,1.28
2020-03-01 00:30:15 UTC,0.91,1.4,1.4,75.0,32.0,1.4
2020-03-01 00:32:16 UTC,1.09,1.76,1.86,75.0,33.0,1.76
2020-03-01 00:34:16 UTC,0.76,1.61,1.79,75.0,33.0,1.61
2020-03-01 00:36:16 UTC,1.19,2.1,2.96,75.0,33.0,2.1
2020-03-01 00:38:16 UTC,0.89,1.8,2.04,75.0,32.0,1.8
2020-03-01 00:40:16 UTC,1.04,1.69,1.87,74.0,33.0,1.69
2020-03-01 00:42:16 UTC,0.76,1.39,1.77,74.0,33.0,1.39
2020-03-01 00:44:16 UTC,1.05,2.45,3.08,75.0,33.0,2.45
2020-03-01 00:46:15 UTC,1.0,2.24,2.24,74.0,33.0,2.24
2020-03-01 00:48:16 UTC,0.84,1.24,1.6,74.0,33.0,1.24
2020-03-01 00:50:16 UTC,1.07,1.97,2.37,74.0,33.0,1.97
2020-03-01 00:52:16 UTC,0.8,1.75,1.98,74.0,33.0,1.75
2020-03-01 00:54:16 UTC,0.93,1.74,2.04,74.0,33.0,1.74
2020-03-01 00:56:16 UTC,0.74,1.16,1.67,74.0,33.0,1.16
2020-03-01 00:58:16 UTC,0.49,1.42,2.06,74.0,33.0,1.42
2020-03-01 01:00:16 UTC,0.66,1.31,1.58,74.0,33.0,1.31
2020-03-01 01:02:16 UTC,0.88,1.43,1.6,73.0,33.0,1.43
2020-03-01 01:04:16 UTC,0.5,1.18,1.21,74.0,34.0,1.18
2020-03-01 01:06:16 UTC,0.91,1.62,1.74,74.0,33.0,1.62
2020-03-01 01:08:16 UTC,0.7,1.7,2.36,74.0,33.0,1.7
2020-03-01 01:10:17 UTC,0.63,1.5,1.56,74.0,33.0,1.5
2020-03-01 01:12:15 UTC,0.39,1.2,2.04,74.0,33.0,1.2
2020-03-01 01:14:16 UTC,0.52,1.12,1.74,74.0,34.0,1.12
2020-03-01 01:16:16 UTC,0.66,1.18,1.64,74.0,34.0,1.18
2020-03-01 01:18:16 UTC,0.37,1.28,1.64,73.0,34.0,1.28
2020-03-01 01:20:16 UTC,0.44,0.8,0.8,74.0,33.0,0.8
2020-03-01 01:22:16 UTC,0.34,0.73,1.46,73.0,33.0,0.73
2020-03-01 01:24:16 UTC,0.7,1.33,1.78,73.0,34.0,1.33
2020-03-01 01:26:16 UTC,0.63,0.9,1.49,73.0,33.0,0.9
2020-03-01 01:28:16 UTC,0.24,0.99,1.11,73.0,35.0,0.99
2020-03-01 01:30:15 UTC,0.16,0.61,1.07,73.0,34.0,0.61
2020-03-01 01:32:16 UTC,0.27,0.86,1.51,73.0,34.0,0.86
