Time,NOx (ppb),NO2 (ppb),PM 2.5 (ug/m3)
2018-01-01 06:00:00 UTC,3.9,3.5,
2018-01-01 07:00:00 UTC,3.5,3.2,
2018-01-01 08:00:00 UTC,3.5,3.2,
2018-01-01 09:00:00 UTC,3.6,3.2,
2018-01-01 10:00:00 UTC,3.6,3.1,
2018-01-01 11:00:00 UTC,3.4,3,
2018-01-01 12:00:00 UTC,3.5,3,
2018-01-01 13:00:00 UTC,3.5,3.2,
2018-01-01 14:00:00 UTC,3.7,3.1,
2018-01-01 15:00:00 UTC,3.8,2.8,
2018-01-01 16:00:00 UTC,4.2,2.9,
2018-01-01 17:00:00 UTC,4,2.7,
2018-01-01 18:00:00 UTC,4.5,3.1,
2018-01-01 19:00:00 UTC,3.9,3,
2018-01-01 20:00:00 UTC,4,3.1,
2018-01-01 21:00:00 UTC,4.5,3.7,
2018-01-01 22:00:00 UTC,5.4,4.1,
2018-01-01 23:00:00 UTC,9.3,6.8,
2018-01-02 00:00:00 UTC,8.4,6.8,
2018-01-02 01:00:00 UTC,11.3,8.8,
2018-01-02 02:00:00 UTC,16.1,10.6,
2018-01-02 03:00:00 UTC,9.4,6.9,
2018-01-02 04:00:00 UTC,8.4,6.7,
2018-01-02 05:00:00 UTC,9.1,7.1,
2018-01-02 06:00:00 UTC,5.6,4.7,
2018-01-02 07:00:00 UTC,5.2,4.5,
2018-01-02 08:00:00 UTC,5.8,4.7,
2018-01-02 09:00:00 UTC,6,4.8,
2018-01-02 10:00:00 UTC,6.8,5.3,
2018-01-02 11:00:00 UTC,19.9,12.9,
2018-01-02 12:00:00 UTC,40.8,20.9,
2018-01-02 13:00:00 UTC,18.2,11.9,
2018-01-02 14:00:00 UTC,9.1,7.2,
2018-01-02 15:00:00 UTC,29.7,15.3,
2018-01-02 16:00:00 UTC,15.5,9.7,
2018-01-02 17:00:00 UTC,17.3,10.7,
2018-01-02 18:00:00 UTC,14.7,9.4,
2018-01-02 19:00:00 UTC,17.6,10.8,
2018-01-02 20:00:00 UTC,16,10.8,
2018-01-02 21:00:00 UTC,9.6,8,
2018-01-02 22:00:00 UTC,7.6,6.9,
2018-01-02 23:00:00 UTC,7.8,7.1,
2018-01-03 00:00:00 UTC,7.1,6.7,
2018-01-03 01:00:00 UTC,5,4.5,
2018-01-03 02:00:00 UTC,4,3.8,
2018-01-03 03:00:00 UTC,4.9,4.7,
2018-01-03 04:00:00 UTC,5.8,5.6,
2018-01-03 05:00:00 UTC,6.7,6.4,
2018-01-03 06:00:00 UTC,8.9,8.6,
2018-01-03 07:00:00 UTC,7.5,7.2,
2018-01-03 08:00:00 UTC,14.1,13.4,
2018-01-03 09:00:00 UTC,13.2,12.7,
2018-01-03 10:00:00 UTC,9.4,9.2,
2018-01-03 11:00:00 UTC,10.8,10.3,
2018-01-03 12:00:00 UTC,22.3,18,
2018-01-03 13:00:00 UTC,29.6,21,
2018-01-03 14:00:00 UTC,15.8,11.1,
2018-01-03 15:00:00 UTC,10.8,7.2,
2018-01-03 16:00:00 UTC,12.8,8.1,
2018-01-03 17:00:00 UTC,10.6,7,
2018-01-03 18:00:00 UTC,13,8.5,
2018-01-03 19:00:00 UTC,9.8,6.7,
2018-01-03 20:00:00 UTC,6.6,5,
2018-01-03 21:00:00 UTC,5.9,4.9,
2018-01-03 22:00:00 UTC,6.6,5.8,
2018-01-03 23:00:00 UTC,11.5,11,
2018-01-04 00:00:00 UTC,40.9,31.7,
2018-01-04 01:00:00 UTC,109,38.5,
2018-01-04 02:00:00 UTC,131.8,39.5,
2018-01-04 03:00:00 UTC,166.1,37.2,
2018-01-04 04:00:00 UTC,161.9,35.1,
2018-01-04 05:00:00 UTC,115.7,33.8,
2018-01-04 06:00:00 UTC,133.1,33.3,
2018-01-04 07:00:00 UTC,129.7,31.3,
2018-01-04 08:00:00 UTC,129.9,27.9,
2018-01-04 09:00:00 UTC,129.9,28.7,
2018-01-04 10:00:00 UTC,99,27.3,
2018-01-04 11:00:00 UTC,88.7,25,
2018-01-04 12:00:00 UTC,79.4,23.4,
2018-01-04 13:00:00 UTC,100.4,21.3,
2018-01-04 14:00:00 UTC,192.1,34.9,
2018-01-04 15:00:00 UTC,128.3,37.1,
2018-01-04 16:00:00 UTC,74.9,30.2,
2018-01-04 17:00:00 UTC,53.5,25.3,
2018-01-04 18:00:00 UTC,41.9,21.5,
2018-01-04 19:00:00 UTC,50.4,25.8,
2018-01-04 20:00:00 UTC,41.4,23.2,
2018-01-04 21:00:00 UTC,59.8,29.6,
2018-01-04 22:00:00 UTC,70.4,34.6,
2018-01-04 23:00:00 UTC,77.5,37.8,
2018-01-05 00:00:00 UTC,85.7,40.5,
2018-01-05 01:00:00 UTC,65.2,31.9,
2018-01-05 02:00:00 UTC,65.6,32.3,
2018-01-05 03:00:00 UTC,69,32.7,
2018-01-05 04:00:00 UTC,52.7,29.3,
2018-01-05 05:00:00 UTC,42,27.1,
2018-01-05 06:00:00 UTC,48.9,27.4,
2018-01-05 07:00:00 UTC,39.5,22.1,
2018-01-05 08:00:00 UTC,51.4,28.8,
2018-01-05 09:00:00 UTC,45.1,25.3,
2018-01-05 10:00:00 UTC,46,26.3,
2018-01-05 11:00:00 UTC,52.2,29.9,
2018-01-05 12:00:00 UTC,78.6,34.8,
2018-01-05 13:00:00 UTC,61.1,32,
2018-01-05 14:00:00 UTC,74.6,36.6,
