created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,ADC,Pressure_hpa,IAQ,PM2.5_ATM_ug/m3
2019-02-27 17:25:52 UTC,1,0.50,0.50,0.50,29288.00,0.03,864.84,,0.50
2019-02-27 17:27:12 UTC,2,0.50,0.50,0.50,29176.00,0.03,864.74,,0.50
2019-02-27 17:28:32 UTC,3,0.50,0.50,0.25,29096.00,0.03,864.79,,0.50
2019-02-27 17:29:52 UTC,4,0.50,0.50,0.34,29096.00,0.02,864.77,,0.50
2019-02-27 17:31:12 UTC,5,0.50,0.50,0.34,29096.00,0.02,864.80,,0.50
2019-02-27 17:32:32 UTC,6,0.50,0.50,0.34,29096.00,0.02,864.87,,0.50
2019-02-27 17:33:52 UTC,7,0.50,0.50,0.34,29096.00,0.02,864.85,,0.50
2019-02-27 17:35:12 UTC,8,0.50,0.50,0.34,29096.00,0.02,864.82,,0.50
2019-02-27 17:36:32 UTC,9,0.50,0.50,0.34,29096.00,0.02,864.83,,0.50
2019-02-27 17:37:52 UTC,10,0.50,0.50,0.17,29096.00,0.02,864.70,,0.50
2019-02-27 17:39:12 UTC,11,0.50,0.50,0.17,29096.00,0.02,864.89,,0.50
2019-02-27 17:40:32 UTC,12,0.50,0.50,0.17,29096.00,0.02,864.78,,0.50
2019-02-27 17:41:52 UTC,13,0.50,0.50,0.17,29096.00,0.02,864.87,,0.50
2019-02-27 17:44:10 UTC,14,0.00,0.00,0.00,30816.00,0.02,864.93,,0.00
2019-02-27 17:45:23 UTC,15,0.00,0.00,0.00,30816.00,0.03,864.97,,0.00
2019-02-27 17:46:44 UTC,16,0.00,0.26,0.26,30816.00,0.02,865.06,,0.26
2019-02-27 17:48:03 UTC,17,0.00,0.26,0.26,30816.00,0.02,865.02,,0.26
2019-02-27 17:49:23 UTC,18,0.00,0.26,0.30,30816.00,0.02,865.08,,0.26
2019-02-27 17:50:43 UTC,19,0.00,0.02,0.11,30816.00,0.02,865.17,,0.02
2019-02-27 17:52:03 UTC,20,0.00,0.02,0.11,30816.00,0.02,865.22,,0.02
2019-02-27 17:53:23 UTC,21,0.00,0.02,0.11,30816.00,0.03,865.15,,0.02
2019-02-27 17:54:43 UTC,22,0.00,0.02,0.11,30816.00,0.02,865.16,,0.02
2019-02-27 17:56:03 UTC,23,0.11,0.40,0.62,30816.00,0.02,865.20,,0.40
2019-02-27 17:57:23 UTC,24,34.43,84.50,115.23,30816.00,0.02,865.24,,59.66
2019-02-27 17:58:43 UTC,25,122.23,324.13,470.26,30816.00,0.02,865.25,,215.19
2019-02-27 18:00:14 UTC,26,98.42,252.81,366.72,30816.00,0.02,865.24,,167.60
2019-02-27 18:01:23 UTC,27,62.62,150.64,210.20,30816.00,0.03,865.27,,99.27
2019-02-27 18:02:43 UTC,28,37.64,88.96,112.74,30816.00,0.02,865.39,,60.72
2019-02-27 18:04:07 UTC,29,31.36,74.33,97.76,30816.00,0.02,865.36,,55.12
2019-02-27 18:05:23 UTC,30,115.60,304.48,437.40,30816.00,0.02,865.37,,202.12
2019-02-27 18:06:43 UTC,31,106.81,275.21,396.83,30792.00,0.02,865.35,,182.64
2019-02-27 18:08:03 UTC,32,43.58,97.96,134.27,30816.00,0.02,865.40,,67.36
2019-02-27 18:09:23 UTC,33,14.60,27.94,34.02,30816.00,0.02,865.42,,27.04
2019-02-27 18:10:43 UTC,34,40.79,93.42,129.83,30816.00,0.02,865.49,,65.90
