created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,ADC,Pressure_hpa,IAQ,PM2.5_ATM_ug/m3
2019-02-27 17:43:21 UTC,1,0.00,0.00,0.00,30816.00,0.03,864.41,,0.00
2019-02-27 17:44:36 UTC,2,0.00,0.00,0.33,30816.00,0.03,864.44,,0.00
2019-02-27 17:45:57 UTC,3,0.00,0.00,0.33,30816.00,0.03,864.48,,0.00
2019-02-27 17:47:16 UTC,4,0.00,0.45,0.45,30816.00,0.03,864.59,,0.45
2019-02-27 17:48:37 UTC,5,0.00,0.11,0.32,30816.00,0.03,864.58,,0.11
2019-02-27 17:49:57 UTC,6,0.07,0.07,0.31,30816.00,0.03,864.58,,0.07
2019-02-27 17:51:16 UTC,7,0.07,0.22,0.22,30816.00,0.03,864.61,,0.22
2019-02-27 17:52:36 UTC,8,0.07,0.16,0.80,30816.00,0.03,864.71,,0.16
2019-02-27 17:53:56 UTC,9,0.11,0.98,1.31,30816.00,0.03,864.76,,0.98
2019-02-27 17:55:17 UTC,10,0.11,0.52,0.87,30816.00,0.03,864.69,,0.52
2019-02-27 17:56:36 UTC,11,10.20,21.72,28.50,30816.00,0.03,864.77,,16.98
2019-02-27 17:57:56 UTC,12,146.37,372.34,547.00,30816.00,0.03,864.76,,247.37
2019-02-27 17:59:16 UTC,13,176.89,466.95,682.68,30816.00,0.03,864.81,,310.43
2019-02-27 18:00:37 UTC,14,120.00,294.02,421.11,30816.00,0.03,864.81,,195.20
2019-02-27 18:01:56 UTC,15,70.58,166.53,232.07,30816.00,0.03,864.80,,110.09
2019-02-27 18:03:17 UTC,16,47.98,107.52,143.43,30816.00,0.03,864.85,,70.64
2019-02-27 18:04:37 UTC,17,112.67,268.81,384.28,30792.00,0.03,864.97,,178.28
2019-02-27 18:05:57 UTC,18,180.00,482.16,700.11,30816.00,0.03,864.89,,320.66
2019-02-27 18:07:17 UTC,19,101.12,235.77,340.42,30816.00,0.03,864.91,,156.28
2019-02-27 18:08:37 UTC,20,35.64,78.07,107.25,30792.00,0.03,864.99,,55.98
2019-02-27 18:09:57 UTC,21,18.74,37.98,47.83,30816.00,0.03,865.01,,32.85
2019-02-27 18:11:18 UTC,22,157.57,428.21,634.67,30816.00,0.03,865.02,,284.64
2019-02-27 18:12:36 UTC,23,248.43,850.74,1339.81,30792.00,0.03,864.99,,566.38
2019-02-27 18:13:57 UTC,24,211.83,633.62,967.23,30816.00,0.03,865.06,,421.64
2019-02-27 18:15:17 UTC,25,107.14,267.30,385.42,30816.00,0.03,865.00,,177.35
2019-02-27 18:16:37 UTC,26,26.68,61.32,86.84,30816.00,0.03,864.97,,46.50
2019-02-27 18:17:59 UTC,27,7.57,17.39,22.65,30816.00,0.03,864.96,,17.39
2019-02-27 18:19:16 UTC,28,2.24,6.13,7.26,30816.00,0.03,864.98,,6.13
2019-02-27 18:20:36 UTC,29,1.11,3.18,4.33,30816.00,0.03,865.01,,3.18
2019-02-27 18:21:59 UTC,30,0.64,1.67,2.22,30816.00,0.03,865.09,,1.67
2019-02-27 18:23:16 UTC,31,0.28,0.70,0.78,30816.00,0.03,865.07,,0.70
2019-02-27 18:24:36 UTC,32,0.28,0.16,0.73,30816.00,0.03,865.16,,0.16
2019-02-27 18:25:57 UTC,33,0.28,0.04,0.33,30816.00,0.03,865.13,,0.04
2019-02-27 18:27:17 UTC,34,0.28,0.09,0.09,30816.00,0.03,865.10,,0.09
2019-02-27 18:28:36 UTC,35,0.28,0.09,0.09,30816.00,0.03,865.06,,0.09
2019-02-27 18:29:56 UTC,36,0.28,0.09,0.31,30816.00,0.03,865.07,,0.09
2019-02-27 18:31:17 UTC,37,0.28,0.09,0.31,30816.00,0.03,865.13,,0.09
2019-02-27 18:32:37 UTC,38,0.28,0.09,0.31,30816.00,0.03,865.13,,0.09
2019-02-27 18:33:56 UTC,39,0.28,0.09,0.31,30816.00,0.03,865.14,,0.09
2019-02-27 18:35:17 UTC,40,0.28,0.09,0.29,30816.00,0.03,865.17,,0.09
2019-02-27 18:36:37 UTC,41,0.28,0.09,0.29,30792.00,0.03,865.23,,0.09
2019-02-27 18:37:56 UTC,42,0.28,0.09,0.29,30816.00,0.03,865.30,,0.09
2019-02-27 18:39:19 UTC,43,0.28,0.09,0.29,30816.00,0.03,865.32,,0.09
2019-02-27 18:40:37 UTC,44,0.28,0.09,0.09,30816.00,0.03,865.30,,0.09
2019-02-27 18:41:57 UTC,45,0.28,0.09,0.20,30792.00,0.03,865.35,,0.09
2019-02-27 18:43:17 UTC,46,0.28,0.09,0.20,30792.00,0.03,865.36,,0.09
2019-02-27 18:44:37 UTC,47,0.28,0.09,0.22,30816.00,0.03,865.39,,0.09
2019-02-27 18:45:56 UTC,48,0.28,0.09,0.22,30816.00,0.03,865.38,,0.09
2019-02-27 18:47:17 UTC,49,0.28,0.20,0.20,30816.00,0.03,865.38,,0.20
2019-02-27 18:48:36 UTC,50,0.28,0.17,0.17,30816.00,0.03,865.31,,0.17
2019-02-27 18:49:57 UTC,51,0.28,0.17,0.17,30816.00,0.03,865.35,,0.17
2019-02-27 18:51:17 UTC,52,0.28,0.17,0.17,30816.00,0.03,865.38,,0.17
2019-02-27 18:52:36 UTC,53,0.28,0.17,0.17,30816.00,0.03,865.36,,0.17
2019-02-27 18:53:56 UTC,54,0.28,0.38,0.38,30816.00,0.03,865.42,,0.38
2019-02-27 18:55:17 UTC,55,0.28,0.22,0.22,30816.00,0.03,865.43,,0.22
2019-02-27 18:56:37 UTC,56,0.28,0.22,0.22,30816.00,0.03,865.44,,0.22
2019-02-27 18:57:57 UTC,57,0.28,0.22,0.22,30816.00,0.03,865.36,,0.22
2019-02-27 18:59:17 UTC,58,0.28,0.22,0.35,30816.00,0.03,865.44,,0.22
2019-02-27 19:00:37 UTC,59,0.28,0.22,0.35,30816.00,0.03,865.46,,0.22
2019-02-27 19:01:56 UTC,60,0.28,0.22,0.22,30816.00,0.03,865.48,,0.22
2019-02-27 19:03:17 UTC,61,0.28,0.26,0.26,30816.00,0.03,865.47,,0.26
2019-02-27 19:04:37 UTC,62,0.28,0.26,0.72,30816.00,0.03,865.44,,0.26
2019-02-27 19:05:57 UTC,63,0.28,0.15,0.15,30816.00,0.03,865.44,,0.15
2019-02-27 19:07:17 UTC,64,0.28,0.15,0.15,30816.00,0.03,865.51,,0.15
2019-02-28 16:41:17 UTC,65,1.11,1.22,1.22,31320.00,0.03,863.03,,1.22
2019-02-28 16:42:36 UTC,66,1.11,0.09,0.11,31320.00,0.03,863.10,,0.09
2019-02-28 16:43:56 UTC,67,1.11,0.09,0.65,31320.00,0.03,863.07,,0.09
2019-02-28 16:45:22 UTC,68,1.11,0.09,0.65,31320.00,0.03,863.07,,0.09
2019-02-28 16:46:36 UTC,69,1.11,0.09,0.65,31320.00,0.03,863.08,,0.09
2019-02-28 16:47:57 UTC,70,1.11,0.09,0.65,31320.00,0.03,863.11,,0.09
2019-02-28 16:49:17 UTC,71,1.11,0.09,0.65,31320.00,0.03,863.09,,0.09
2019-02-28 16:50:36 UTC,72,1.11,0.09,0.65,31320.00,0.03,863.06,,0.09
2019-02-28 16:51:57 UTC,73,1.11,0.11,0.11,31320.00,0.03,863.03,,0.11
2019-02-28 16:53:16 UTC,74,1.11,0.21,0.21,31320.00,0.03,862.95,,0.21
2019-02-28 16:54:36 UTC,75,1.11,0.09,0.09,31320.00,0.03,862.93,,0.09
2019-02-28 16:55:56 UTC,76,1.11,0.09,0.09,31320.00,0.03,862.92,,0.09
2019-02-28 16:57:16 UTC,77,1.11,0.06,0.47,31320.00,0.03,862.86,,0.06
2019-02-28 16:58:36 UTC,78,1.11,0.06,0.47,31320.00,0.03,862.88,,0.06
2019-02-28 16:59:57 UTC,79,1.11,0.38,0.51,31320.00,0.03,862.87,,0.38
2019-02-28 17:01:17 UTC,80,1.11,0.38,0.53,31320.00,0.03,862.94,,0.38
2019-02-28 17:02:36 UTC,81,1.50,3.77,5.41,31320.00,0.03,862.90,,3.77
2019-02-28 17:03:57 UTC,82,97.82,232.16,324.20,31320.00,0.03,862.89,,155.27
2019-02-28 17:05:16 UTC,83,168.11,437.04,652.51,31320.00,0.03,862.83,,290.38
2019-02-28 17:06:37 UTC,84,125.23,312.21,447.74,31320.00,0.03,862.86,,207.19
2019-02-28 17:07:57 UTC,85,77.53,189.57,265.57,31320.00,0.03,862.95,,125.55
2019-02-28 17:09:17 UTC,86,33.20,77.73,109.31,31320.00,0.03,862.90,,55.49
2019-02-28 17:10:36 UTC,87,14.00,34.85,50.34,31296.00,0.03,862.92,,32.73
2019-02-28 17:11:57 UTC,88,6.20,16.63,22.85,31320.00,0.03,862.91,,16.63
2019-02-28 17:13:17 UTC,89,2.54,6.65,10.02,31296.00,0.03,862.83,,6.65
2019-02-28 17:14:36 UTC,90,0.44,1.89,2.49,31320.00,0.03,862.85,,1.89
2019-02-28 17:16:00 UTC,91,0.44,0.40,0.80,31320.00,0.03,862.85,,0.40
2019-02-28 17:17:17 UTC,92,0.44,0.40,0.34,31320.00,0.03,862.91,,0.40
2019-02-28 17:18:36 UTC,93,0.44,0.40,0.34,31320.00,0.03,862.91,,0.40
2019-02-28 17:19:57 UTC,94,0.44,0.40,0.34,31320.00,0.03,862.91,,0.40
2019-02-28 17:21:16 UTC,95,0.44,0.40,0.36,31320.00,0.03,862.86,,0.40
2019-02-28 17:22:37 UTC,96,0.44,0.40,0.36,31320.00,0.03,862.90,,0.40
2019-02-28 17:23:56 UTC,97,0.44,0.40,0.36,31320.00,0.03,862.88,,0.40
2019-02-28 17:25:16 UTC,98,0.44,0.40,0.36,31320.00,0.03,862.86,,0.40
2019-02-28 17:26:37 UTC,99,0.44,0.40,0.36,31296.00,0.03,862.81,,0.40
2019-02-28 17:27:57 UTC,100,0.44,0.40,0.36,31320.00,0.03,862.88,,0.40
2019-02-28 17:29:16 UTC,101,0.44,0.40,0.36,31320.00,0.03,862.87,,0.40
2019-02-28 17:30:36 UTC,102,0.44,0.40,0.36,31320.00,0.03,862.89,,0.40
2019-02-28 17:31:56 UTC,103,0.44,0.40,0.36,31320.00,0.03,862.84,,0.40
2019-04-25 21:05:22 UTC,104,3.54,4.67,5.28,30760.00,0.03,988.83,,4.67
2019-04-25 21:06:42 UTC,105,3.28,5.04,5.04,30288.00,0.03,988.78,,5.04
