created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,ADC,Pressure_hpa,IAQ,PM2.5_ATM_ug/m3
2019-02-27 17:33:26 UTC,1,0.00,0.00,0.00,28904.00,0.01,864.38,,0.00
2019-02-27 17:34:46 UTC,2,0.00,0.00,0.00,28792.00,0.01,864.38,,0.00
2019-02-27 17:36:07 UTC,3,0.00,0.26,0.26,28712.00,0.01,864.43,,0.26
2019-02-27 17:37:26 UTC,4,0.00,0.26,0.46,28712.00,0.01,864.37,,0.26
2019-02-27 17:38:46 UTC,5,0.00,0.24,0.80,28712.00,0.01,864.37,,0.24
2019-02-27 17:40:06 UTC,6,0.00,0.24,0.59,28712.00,0.01,864.39,,0.24
2019-02-27 17:41:26 UTC,7,0.00,0.24,0.27,28712.00,0.01,864.43,,0.24
2019-02-27 17:44:06 UTC,8,0.00,0.00,0.00,30816.00,0.01,864.48,,0.00
2019-02-27 17:45:22 UTC,9,0.00,0.00,0.71,30816.00,0.01,864.54,,0.00
2019-02-27 17:46:42 UTC,10,0.00,0.07,0.07,30816.00,0.01,864.63,,0.07
2019-02-27 17:48:02 UTC,11,0.00,0.07,0.11,30816.00,0.01,864.57,,0.07
2019-02-27 17:49:22 UTC,12,0.00,0.18,0.71,30816.00,0.01,864.61,,0.18
2019-02-27 17:50:43 UTC,13,0.00,0.18,0.09,30816.00,0.01,864.67,,0.18
2019-02-27 17:52:02 UTC,14,0.00,0.18,0.26,30816.00,0.01,864.72,,0.18
2019-02-27 17:53:22 UTC,15,0.00,1.02,1.02,30816.00,0.01,864.69,,1.02
2019-02-27 17:54:42 UTC,16,0.00,0.09,0.09,30816.00,0.01,864.74,,0.09
2019-02-27 17:56:02 UTC,17,0.33,1.83,2.15,30816.00,0.01,864.81,,1.83
2019-02-27 17:57:22 UTC,18,78.53,201.82,290.33,30816.00,0.01,864.83,,135.93
2019-02-27 17:58:42 UTC,19,168.80,494.59,736.45,30816.00,0.01,864.80,,328.86
2019-02-27 18:00:03 UTC,20,129.83,350.33,520.52,30816.00,0.01,864.82,,232.72
2019-02-27 18:01:23 UTC,21,80.00,203.34,297.60,30816.00,0.01,864.84,,134.74
2019-02-27 18:02:42 UTC,22,51.82,125.64,176.16,30816.00,0.01,864.90,,83.02
2019-02-27 18:04:02 UTC,23,54.05,129.36,184.80,30792.00,0.01,864.90,,85.50
2019-02-27 18:05:25 UTC,24,147.89,409.98,608.22,30816.00,0.01,864.92,,272.56
2019-02-27 18:06:42 UTC,25,124.58,347.69,523.51,30816.00,0.01,864.92,,230.91
2019-02-27 18:08:05 UTC,26,54.67,130.10,185.12,30816.00,0.01,864.92,,86.40
2019-02-27 18:09:22 UTC,27,15.78,31.32,42.22,30816.00,0.01,864.92,,29.49
2019-02-27 18:10:42 UTC,28,66.19,171.83,248.48,30816.00,0.01,865.02,,116.26
2019-02-27 18:12:02 UTC,29,213.11,725.89,1144.50,30816.00,0.01,865.08,,483.24
2019-02-27 18:13:22 UTC,30,226.43,806.26,1272.79,30816.00,0.01,865.05,,536.72
2019-02-27 18:14:42 UTC,31,153.57,459.71,704.10,30816.00,0.01,865.05,,305.74
2019-02-27 18:16:02 UTC,32,43.39,112.73,166.77,30816.00,0.01,865.02,,75.80
2019-02-27 18:17:25 UTC,33,11.52,30.02,43.89,30816.00,0.01,865.05,,28.24
2019-02-27 18:18:45 UTC,34,3.11,9.98,14.85,30816.00,0.01,865.04,,9.98
2019-02-27 18:20:03 UTC,35,1.47,5.29,7.33,30816.00,0.01,865.03,,5.29
2019-02-27 18:21:22 UTC,36,0.53,3.24,5.42,30816.00,0.01,865.01,,3.24
