created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,ADC,Pressure_hpa,IAQ,PM2.5_ATM_ug/m3
2019-02-21 23:03:40 UTC,1,0.00,0.00,0.00,29048.00,0.02,852.05,,0.00
2019-02-21 23:05:00 UTC,2,0.54,1.41,1.46,28968.00,0.02,852.13,,1.41
2019-02-21 23:06:20 UTC,3,1.11,2.07,2.33,28840.00,0.02,852.07,,2.07
2019-02-21 23:07:40 UTC,4,1.02,1.93,2.11,28840.00,0.02,852.12,,1.93
2019-02-21 23:09:00 UTC,5,0.50,1.26,1.26,28840.00,0.02,852.13,,1.26
2019-02-21 23:10:20 UTC,6,0.66,1.57,1.73,28840.00,0.02,852.11,,1.57
2019-02-21 23:11:40 UTC,7,0.70,1.34,1.34,28840.00,0.02,852.11,,1.34
2019-02-21 23:13:00 UTC,8,0.69,1.33,1.33,28840.00,0.02,852.05,,1.33
2019-02-21 23:15:32 UTC,9,0.00,0.00,0.20,31320.00,0.02,852.12,,0.00
2019-02-21 23:16:57 UTC,10,0.60,1.22,1.64,31320.00,0.02,852.10,,1.22
2019-02-21 23:18:09 UTC,11,0.53,1.15,1.15,31320.00,0.02,852.08,,1.15
2019-02-21 23:19:29 UTC,12,0.75,1.57,1.61,31320.00,0.02,852.14,,1.57
2019-02-21 23:20:51 UTC,13,0.82,1.51,2.09,31320.00,0.02,852.18,,1.51
2019-02-21 23:22:08 UTC,14,0.27,0.80,1.49,31320.00,0.02,852.14,,0.80
2019-02-21 23:23:28 UTC,15,0.39,0.89,1.18,31320.00,0.02,852.18,,0.89
2019-02-21 23:24:48 UTC,16,0.59,0.89,1.04,31320.00,0.02,852.12,,0.89
2019-02-21 23:26:08 UTC,17,0.72,1.02,1.02,31320.00,0.02,852.15,,1.02
2019-02-21 23:27:29 UTC,18,0.67,1.60,1.60,31320.00,0.02,852.20,,1.60
2019-02-21 23:28:48 UTC,19,0.54,1.17,1.41,31320.00,0.02,852.22,,1.17
2019-02-21 23:30:08 UTC,20,0.41,0.75,0.86,31320.00,0.02,852.18,,0.75
2019-02-21 23:31:28 UTC,21,0.85,1.60,1.60,31320.00,0.02,852.17,,1.60
2019-02-21 23:32:48 UTC,22,0.84,1.67,1.67,31320.00,0.02,852.27,,1.67
2019-02-21 23:34:09 UTC,23,2.40,5.06,5.68,31320.00,0.02,852.21,,4.98
2019-02-21 23:35:28 UTC,24,86.53,226.51,296.23,31320.00,0.02,852.22,,151.38
2019-02-21 23:36:48 UTC,25,140.48,400.70,523.61,31320.00,0.02,852.24,,266.46
2019-02-21 23:38:08 UTC,26,90.58,244.53,323.60,31320.00,0.02,852.18,,162.29
2019-02-21 23:39:28 UTC,27,45.71,124.13,158.67,31296.00,0.02,852.22,,81.89
2019-02-21 23:40:50 UTC,28,28.85,76.12,91.90,31320.00,0.02,852.23,,52.20
2019-02-21 23:42:09 UTC,29,17.23,44.60,52.47,31320.00,0.02,852.25,,38.15
2019-02-21 23:43:29 UTC,30,9.77,24.21,29.47,31320.00,0.02,852.26,,24.21
2019-02-21 23:44:48 UTC,31,3.57,12.17,13.72,31320.00,0.02,852.25,,12.17
