created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,ADC,Pressure_hpa,IAQ,PM2.5_ATM_ug/m3
2019-02-21 23:07:58 UTC,1,5.00,6.00,6.00,29288.00,0.03,850.84,,6.00
2019-02-21 23:09:18 UTC,2,0.98,1.35,1.77,29176.00,0.04,850.81,,1.35
2019-02-21 23:10:38 UTC,3,1.00,1.55,2.05,29096.00,0.04,850.85,,1.55
2019-02-21 23:11:58 UTC,4,1.25,1.90,1.96,29096.00,0.04,850.83,,1.90
2019-02-21 23:13:18 UTC,5,1.38,2.27,2.67,29096.00,0.04,850.84,,2.27
2019-02-21 23:15:37 UTC,6,1.00,1.89,1.89,30816.00,0.04,850.86,,1.89
2019-02-21 23:16:53 UTC,7,1.04,1.53,1.69,30816.00,0.04,850.84,,1.53
2019-02-21 23:18:13 UTC,8,0.96,1.32,1.64,30816.00,0.04,850.84,,1.32
2019-02-21 23:19:33 UTC,9,0.75,1.48,1.77,30816.00,0.04,850.82,,1.48
2019-02-21 23:20:52 UTC,10,0.63,1.35,1.35,30816.00,0.04,850.86,,1.35
2019-02-21 23:22:12 UTC,11,0.85,1.66,2.13,30816.00,0.04,850.82,,1.66
2019-02-21 23:23:33 UTC,12,0.48,1.02,1.32,30816.00,0.04,850.89,,1.02
2019-02-21 23:24:52 UTC,13,0.94,1.21,1.38,30816.00,0.04,850.84,,1.21
2019-02-21 23:26:12 UTC,14,0.93,1.65,2.17,30816.00,0.04,850.88,,1.65
2019-02-21 23:27:34 UTC,15,0.56,1.07,1.07,30816.00,0.04,850.94,,1.07
2019-02-21 23:28:53 UTC,16,1.15,1.70,1.81,30816.00,0.04,850.91,,1.70
2019-02-21 23:30:12 UTC,17,0.93,1.87,2.11,30816.00,0.04,850.90,,1.87
2019-02-21 23:31:33 UTC,18,0.70,1.59,2.04,30792.00,0.04,850.93,,1.59
2019-02-21 23:32:53 UTC,19,0.74,1.28,1.43,30816.00,0.04,850.94,,1.28
2019-02-21 23:34:12 UTC,20,9.16,22.20,30.62,30816.00,0.04,850.97,,16.80
2019-02-21 23:35:32 UTC,21,139.91,397.02,634.82,30816.00,0.04,850.93,,263.86
2019-02-21 23:36:53 UTC,22,169.81,499.00,814.25,30816.00,0.04,850.94,,331.92
2019-02-21 23:38:13 UTC,23,88.35,233.58,365.00,30816.00,0.04,850.89,,154.79
2019-02-21 23:39:33 UTC,24,44.00,113.35,170.65,30816.00,0.04,850.91,,74.72
2019-02-21 23:40:53 UTC,25,26.55,64.79,91.33,30816.00,0.04,850.96,,47.29
2019-02-21 23:42:13 UTC,26,13.49,36.56,53.31,30816.00,0.04,851.01,,33.44
2019-02-21 23:43:33 UTC,27,9.33,22.24,30.67,30816.00,0.04,850.96,,22.24
2019-02-21 23:44:53 UTC,28,4.35,11.22,14.70,30816.00,0.04,850.95,,11.22
2019-02-21 23:46:13 UTC,29,1.68,4.68,6.87,30816.00,0.04,850.99,,4.68
2019-02-21 23:47:32 UTC,30,0.82,2.39,4.07,30816.00,0.04,850.98,,2.39
2019-02-21 23:48:53 UTC,31,0.57,1.79,3.49,30816.00,0.04,851.01,,1.79
2019-02-21 23:50:13 UTC,32,0.57,0.56,1.00,30816.00,0.04,851.04,,0.56
2019-02-21 23:51:33 UTC,33,0.57,0.11,0.43,30816.00,0.04,851.06,,0.11
2019-02-21 23:52:52 UTC,34,0.57,0.11,0.04,30816.00,0.04,851.03,,0.11
2019-02-21 23:54:13 UTC,35,0.57,0.11,0.04,30816.00,0.04,851.06,,0.11
2019-02-21 23:55:33 UTC,36,0.57,0.11,0.18,30816.00,0.04,851.06,,0.11
2019-02-21 23:56:53 UTC,37,0.57,0.11,0.18,30816.00,0.04,851.08,,0.11
2019-02-21 23:58:13 UTC,38,0.57,0.11,0.18,30816.00,0.04,851.09,,0.11
2019-02-21 23:59:33 UTC,39,0.57,0.11,0.18,30816.00,0.04,851.13,,0.11
2019-02-22 00:00:52 UTC,40,0.57,0.11,0.18,30816.00,0.04,851.09,,0.11
2019-02-26 17:58:10 UTC,41,1.70,2.40,2.80,31320.00,0.04,862.58,,2.40
2019-02-26 17:59:29 UTC,42,1.96,2.67,3.00,31320.00,0.04,862.68,,2.67
2019-02-26 18:00:49 UTC,43,1.39,2.00,2.36,31320.00,0.04,862.74,,2.00
2019-02-26 18:02:10 UTC,44,1.70,2.50,2.63,31320.00,0.04,862.72,,2.50
2019-02-26 18:03:30 UTC,45,1.95,2.50,3.02,31320.00,0.04,862.61,,2.50
2019-02-26 18:04:49 UTC,46,2.15,2.43,2.43,31320.00,0.04,862.84,,2.43
2019-02-26 18:06:09 UTC,47,1.78,2.29,2.87,31320.00,0.04,862.74,,2.29
2019-02-26 18:07:30 UTC,48,1.70,2.54,2.54,31320.00,0.04,862.55,,2.54
2019-02-26 18:08:49 UTC,49,1.07,1.73,1.91,31320.00,0.04,862.62,,1.73
2019-02-26 18:10:09 UTC,50,1.07,0.09,0.09,31296.00,0.04,862.66,,0.09
2019-02-26 18:11:30 UTC,51,1.07,0.09,0.09,31320.00,0.04,862.64,,0.09
2019-02-26 18:12:50 UTC,52,1.07,0.09,0.09,31320.00,0.04,862.81,,0.09
2019-02-26 18:14:10 UTC,53,2.66,7.40,9.79,31320.00,0.04,862.73,,6.98
2019-02-26 18:15:30 UTC,54,84.50,220.32,332.07,31320.00,0.04,862.84,,146.80
2019-02-26 18:16:50 UTC,55,130.09,354.53,553.79,31320.00,0.04,862.84,,235.63
2019-02-26 18:18:13 UTC,56,118.48,317.54,495.42,31320.00,0.04,862.83,,210.94
2019-02-26 18:19:30 UTC,57,137.70,371.74,575.98,31320.00,0.04,862.96,,247.11
2019-02-26 18:20:50 UTC,58,198.04,606.76,981.71,31320.00,0.04,862.82,,403.96
2019-02-26 18:22:11 UTC,59,244.50,984.85,1751.06,31320.00,0.04,862.89,,655.87
2019-02-26 18:23:30 UTC,60,233.19,944.94,1678.23,31320.00,0.03,863.04,,629.10
2019-02-26 18:24:50 UTC,61,136.04,404.59,650.54,31320.00,0.04,863.10,,269.07
2019-02-26 18:26:10 UTC,62,23.74,59.48,83.45,31320.00,0.04,863.18,,44.93
2019-02-26 18:27:30 UTC,63,5.87,14.78,19.02,31320.00,0.04,863.19,,14.78
2019-02-26 18:28:50 UTC,64,3.45,8.52,12.43,31320.00,0.04,863.27,,8.52
2019-02-26 18:30:10 UTC,65,1.40,5.00,9.85,31320.00,0.04,863.19,,5.00
2019-02-26 18:31:30 UTC,66,0.53,2.71,4.18,31320.00,0.04,863.28,,2.71
2019-02-26 18:32:49 UTC,67,0.11,1.09,2.11,31320.00,0.04,863.21,,1.09
2019-02-26 18:34:10 UTC,68,0.11,0.94,1.62,31320.00,0.04,863.20,,0.94
2019-02-26 18:35:30 UTC,69,0.11,0.93,1.36,31320.00,0.04,863.17,,0.93
2019-02-26 18:36:50 UTC,70,0.24,0.39,0.78,31296.00,0.04,863.50,,0.39
2019-02-26 18:38:10 UTC,71,0.31,0.31,0.67,31320.00,0.04,863.46,,0.31
2019-02-26 18:39:29 UTC,72,0.31,0.31,0.67,31320.00,0.04,863.35,,0.31
2019-02-26 18:40:50 UTC,73,0.31,0.31,0.67,31320.00,0.04,863.40,,0.31
2019-02-26 18:42:10 UTC,74,0.31,0.31,0.11,31320.00,0.04,863.35,,0.31
2019-02-26 18:43:30 UTC,75,0.31,0.31,0.11,31320.00,0.04,863.33,,0.31
2019-02-26 18:44:50 UTC,76,0.31,0.31,0.11,31320.00,0.04,863.28,,0.31
2019-02-26 18:46:10 UTC,77,0.31,0.31,0.11,31320.00,0.04,863.24,,0.31
2019-02-26 18:47:30 UTC,78,0.31,0.31,0.11,31320.00,0.04,863.25,,0.31
2019-02-26 18:48:56 UTC,79,0.31,0.31,0.11,31320.00,0.04,863.24,,0.31
2019-02-26 18:50:13 UTC,80,0.31,0.31,0.11,31320.00,0.04,863.23,,0.31
2019-02-26 18:51:31 UTC,81,0.31,0.31,0.11,31320.00,0.04,863.19,,0.31
2019-02-26 18:52:50 UTC,82,0.31,0.31,0.11,31296.00,0.04,863.24,,0.31
2019-02-26 18:54:10 UTC,83,0.31,0.31,0.11,31320.00,0.04,863.17,,0.31
2019-02-26 18:55:33 UTC,84,0.31,0.31,0.11,31320.00,0.03,863.15,,0.31
2019-02-26 18:56:50 UTC,85,0.31,0.31,0.11,31296.00,0.04,863.17,,0.31
2019-02-26 18:58:13 UTC,86,0.31,0.31,0.11,31320.00,0.03,863.15,,0.31
2019-02-26 18:59:30 UTC,87,0.31,0.31,0.11,31320.00,0.04,863.04,,0.31
2019-02-26 19:00:52 UTC,88,0.31,0.31,0.11,31320.00,0.04,863.13,,0.31
2019-02-26 19:02:10 UTC,89,0.31,0.31,0.11,31296.00,0.04,863.15,,0.31
2019-02-26 19:03:29 UTC,90,0.31,0.31,0.11,31320.00,0.04,863.19,,0.31
2019-02-26 19:04:52 UTC,91,0.31,0.31,0.11,31296.00,0.04,863.21,,0.31
2019-02-26 19:06:10 UTC,92,0.31,0.31,0.11,31320.00,0.04,863.26,,0.31
2019-02-26 19:07:31 UTC,93,0.31,0.31,0.11,31320.00,0.04,863.17,,0.31
2019-02-26 19:08:49 UTC,94,0.31,0.31,0.11,31320.00,0.04,863.17,,0.31
2019-02-26 19:10:10 UTC,95,0.31,0.31,0.11,31320.00,0.04,863.07,,0.31
2019-02-26 19:11:31 UTC,96,0.31,0.31,0.11,31320.00,0.03,863.19,,0.31
2019-02-26 19:12:50 UTC,97,0.31,0.31,0.11,31320.00,0.04,863.07,,0.31
2019-02-26 19:14:11 UTC,98,0.31,0.31,0.11,31320.00,0.04,863.09,,0.31
2019-02-26 19:15:30 UTC,99,0.31,0.31,0.11,31320.00,0.04,863.02,,0.31
2019-02-26 19:16:52 UTC,100,0.31,0.31,0.11,31320.00,0.04,862.99,,0.31
2019-02-26 19:18:10 UTC,101,0.31,0.31,0.11,31320.00,0.04,862.91,,0.31
2019-02-26 19:19:30 UTC,102,0.31,0.31,0.11,31320.00,0.03,863.03,,0.31
2019-02-26 19:20:52 UTC,103,0.31,0.31,0.11,31320.00,0.04,863.01,,0.31
2019-02-26 19:22:10 UTC,104,0.31,0.31,0.11,31320.00,0.04,863.00,,0.31
2019-02-26 19:23:29 UTC,105,0.31,0.31,0.11,31320.00,0.03,862.97,,0.31
2019-02-26 19:24:50 UTC,106,0.31,0.31,0.11,31320.00,0.04,863.01,,0.31
2019-02-26 19:26:10 UTC,107,0.31,0.31,0.11,31320.00,0.04,863.01,,0.31
2019-02-26 19:27:29 UTC,108,0.31,0.31,0.11,31320.00,0.03,863.01,,0.31
2019-02-26 19:28:50 UTC,109,0.31,0.31,0.11,31320.00,0.04,862.99,,0.31
2019-02-26 19:30:10 UTC,110,0.31,0.31,0.11,31320.00,0.04,862.97,,0.31
2019-02-26 19:31:30 UTC,111,0.31,0.31,0.11,31320.00,0.03,862.97,,0.31
2019-04-25 19:12:24 UTC,112,2.96,3.71,3.94,25960.00,0.03,987.19,,3.71
2019-04-25 19:13:44 UTC,113,3.18,4.16,4.18,26128.00,0.03,987.17,,4.16
2019-04-25 19:15:06 UTC,114,2.82,3.52,3.66,26128.00,0.03,987.16,,3.52
2019-04-25 19:16:26 UTC,115,2.78,3.09,3.46,25960.00,0.03,987.12,,3.09
2019-04-25 19:20:24 UTC,116,2.95,3.79,3.79,25992.00,0.03,987.08,,3.79
2019-04-25 19:21:44 UTC,117,2.54,3.22,3.22,25960.00,0.03,987.15,,3.22
2019-04-25 19:23:04 UTC,118,3.32,3.71,3.71,25824.00,0.03,987.16,,3.71
2019-04-25 19:24:24 UTC,119,3.47,3.72,3.72,25960.00,0.03,987.22,,3.72
2019-04-25 19:25:44 UTC,120,3.51,3.94,4.11,26128.00,0.03,987.13,,3.94
2019-04-25 19:27:06 UTC,121,2.30,2.89,2.89,25960.00,0.03,987.19,,2.89
2019-04-25 19:31:05 UTC,122,3.07,3.72,3.72,26296.00,0.03,987.21,,3.72
2019-04-25 19:32:26 UTC,123,3.17,3.52,3.52,25824.00,0.03,987.20,,3.52
2019-04-25 19:33:44 UTC,124,3.02,3.40,3.51,25656.00,0.03,987.17,,3.40
2019-04-25 19:35:06 UTC,125,3.11,3.57,4.09,25760.00,0.03,987.15,,3.57
2019-04-25 19:36:24 UTC,126,3.58,4.00,4.36,25488.00,0.03,987.12,,4.00
2019-04-25 19:37:44 UTC,127,2.93,3.55,3.88,25152.00,0.03,987.08,,3.55
