created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,ADC,Pressure_hpa,IAQ,PM2.5_ATM_ug/m3
2019-02-27 17:36:41 UTC,1,0.00,0.00,0.00,29416.00,0.07,864.16,,0.00
2019-02-27 17:38:01 UTC,2,0.00,0.05,0.05,29304.00,0.06,864.11,,0.05
2019-02-27 17:39:21 UTC,3,0.00,0.05,0.05,29224.00,0.06,864.10,,0.05
2019-02-27 17:40:41 UTC,4,0.00,0.07,1.07,29224.00,0.06,864.14,,0.07
2019-02-27 17:42:01 UTC,5,0.00,0.17,0.17,29224.00,0.06,864.23,,0.17
2019-02-27 17:44:07 UTC,6,0.00,0.00,0.56,31320.00,0.06,864.28,,0.00
2019-02-27 17:45:23 UTC,7,0.00,0.13,0.52,31320.00,0.06,864.29,,0.13
2019-02-27 17:46:43 UTC,8,0.00,0.13,0.35,31320.00,0.06,864.36,,0.13
2019-02-27 17:48:03 UTC,9,0.00,0.17,0.17,31320.00,0.06,864.37,,0.17
2019-02-27 17:49:23 UTC,10,0.00,0.14,0.14,31320.00,0.06,864.44,,0.14
2019-02-27 17:50:46 UTC,11,0.00,0.14,0.14,31320.00,0.06,864.46,,0.14
2019-02-27 17:52:03 UTC,12,0.00,0.14,0.14,31320.00,0.06,864.46,,0.14
2019-02-27 17:53:22 UTC,13,0.02,0.76,0.76,31320.00,0.06,864.48,,0.76
2019-02-27 17:54:45 UTC,14,0.02,0.36,0.36,31320.00,0.06,864.55,,0.36
2019-02-27 17:56:03 UTC,15,0.54,1.85,1.85,31320.00,0.06,864.52,,1.85
2019-02-27 17:57:22 UTC,16,65.95,178.90,249.36,31320.00,0.06,864.63,,120.17
2019-02-27 17:58:43 UTC,17,161.55,491.23,725.34,31320.00,0.06,864.62,,326.70
2019-02-27 18:00:03 UTC,18,126.86,358.77,519.95,31320.00,0.06,864.61,,238.18
2019-02-27 18:01:23 UTC,19,78.64,211.80,300.45,31320.00,0.06,864.68,,140.50
2019-02-27 18:02:43 UTC,20,49.68,124.83,170.59,31320.00,0.06,864.78,,82.54
2019-02-27 18:04:03 UTC,21,50.02,127.39,179.88,31320.00,0.06,864.73,,84.34
2019-02-27 18:05:23 UTC,22,143.02,413.50,612.57,31320.00,0.06,864.75,,274.86
2019-02-27 18:06:43 UTC,23,121.66,356.39,517.48,31320.00,0.06,864.78,,236.75
2019-02-27 18:08:03 UTC,24,49.02,123.09,177.49,31320.00,0.06,864.80,,82.49
2019-02-27 18:09:23 UTC,25,14.09,32.61,39.30,31320.00,0.06,864.80,,30.48
2019-02-27 18:10:43 UTC,26,63.09,167.73,237.39,31320.00,0.06,864.95,,113.89
2019-02-27 18:12:04 UTC,27,205.52,710.82,1093.89,31296.00,0.06,864.96,,473.32
2019-02-27 18:13:23 UTC,28,203.88,732.65,1146.58,31320.00,0.06,864.96,,487.58
2019-02-27 18:14:43 UTC,29,130.89,389.85,589.43,31320.00,0.06,864.91,,259.22
2019-02-27 18:16:03 UTC,30,36.86,96.95,138.48,31320.00,0.06,864.89,,66.73
2019-02-27 18:17:23 UTC,31,10.68,28.02,39.39,31320.00,0.06,864.87,,26.70
2019-02-27 18:18:43 UTC,32,2.57,7.96,12.74,31320.00,0.06,864.88,,7.96
2019-02-27 18:20:03 UTC,33,1.18,3.82,6.09,31320.00,0.06,864.93,,3.82
2019-02-27 18:21:23 UTC,34,0.50,2.50,4.70,31320.00,0.06,864.94,,2.50
2019-02-27 18:22:43 UTC,35,0.21,1.02,2.07,31320.00,0.06,865.03,,1.02
2019-02-27 18:24:02 UTC,36,0.21,0.46,0.87,31320.00,0.06,865.01,,0.46
2019-02-27 18:25:25 UTC,37,0.21,0.02,0.02,31320.00,0.06,865.05,,0.02
2019-02-27 18:26:43 UTC,38,0.21,0.02,0.02,31320.00,0.06,865.05,,0.02
2019-02-27 18:28:03 UTC,39,0.21,0.02,0.02,31320.00,0.06,865.02,,0.02
2019-02-27 18:29:23 UTC,40,0.21,0.02,0.02,31296.00,0.06,864.98,,0.02
2019-02-27 18:30:43 UTC,41,0.21,0.02,0.02,31320.00,0.06,865.03,,0.02
2019-02-27 18:32:04 UTC,42,0.21,0.02,0.02,31320.00,0.06,865.06,,0.02
2019-02-27 18:33:23 UTC,43,0.21,0.02,0.27,31320.00,0.06,865.06,,0.02
2019-02-27 18:34:43 UTC,44,0.21,0.11,0.11,31320.00,0.06,865.08,,0.11
2019-02-27 18:36:03 UTC,45,0.21,0.16,0.16,31320.00,0.06,865.07,,0.16
2019-02-27 18:37:23 UTC,46,0.21,0.16,0.16,31320.00,0.06,865.14,,0.16
2019-02-27 18:38:43 UTC,47,0.21,0.16,0.16,31320.00,0.06,865.17,,0.16
2019-02-27 18:40:02 UTC,48,0.21,0.16,0.16,31320.00,0.06,865.18,,0.16
2019-02-27 18:41:23 UTC,49,0.21,0.16,0.16,31320.00,0.06,865.28,,0.16
2019-02-27 18:42:43 UTC,50,0.21,0.16,0.20,31320.00,0.06,865.30,,0.16
2019-02-27 18:44:03 UTC,51,0.21,0.16,0.20,31320.00,0.06,865.29,,0.16
2019-02-27 18:45:23 UTC,52,0.21,0.07,0.13,31320.00,0.06,865.25,,0.07
2019-02-27 18:46:43 UTC,53,0.21,0.07,0.13,31320.00,0.06,865.23,,0.07
2019-02-27 18:48:03 UTC,54,0.21,0.22,0.22,31320.00,0.06,865.27,,0.22
2019-02-27 18:49:23 UTC,55,0.21,0.22,0.30,31320.00,0.06,865.22,,0.22
2019-02-27 18:50:43 UTC,56,0.21,0.22,0.30,31320.00,0.06,865.23,,0.22
2019-02-27 18:52:03 UTC,57,0.21,0.22,0.30,31320.00,0.06,865.23,,0.22
