created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,ADC,Pressure_hpa,IAQ,PM2.5_ATM_ug/m3
2019-02-21 21:59:56 UTC,1,1.00,3.00,3.00,28920.00,0.05,851.11,,3.00
2019-02-21 22:01:16 UTC,2,3.06,4.23,5.46,28840.00,0.05,851.19,,4.23
2019-02-21 22:02:36 UTC,3,3.06,5.17,5.43,28712.00,0.05,851.25,,5.17
2019-02-21 22:03:56 UTC,4,2.48,3.80,4.70,28712.00,0.05,851.13,,3.80
2019-02-21 22:05:16 UTC,5,2.39,4.26,4.48,28712.00,0.05,851.20,,4.26
2019-02-21 22:06:36 UTC,6,2.22,3.71,4.22,28712.00,0.05,851.20,,3.71
2019-02-21 22:07:56 UTC,7,2.38,4.04,4.04,28712.00,0.05,851.17,,4.04
2019-02-21 22:10:12 UTC,8,2.44,2.89,2.89,31320.00,0.05,851.22,,2.89
2019-02-21 22:11:30 UTC,9,2.75,4.18,4.23,31320.00,0.05,851.26,,4.18
2019-02-21 22:12:49 UTC,10,2.46,4.24,4.54,31320.00,0.05,851.24,,4.24
2019-02-21 22:14:09 UTC,11,2.89,3.96,4.41,31320.00,0.05,851.20,,3.96
2019-02-21 22:15:29 UTC,12,2.27,3.82,4.07,31320.00,0.05,851.25,,3.82
2019-02-21 22:16:48 UTC,13,38.81,101.43,152.34,31320.00,0.05,851.28,,70.68
2019-02-21 22:18:09 UTC,14,143.72,412.22,656.83,31320.00,0.05,851.18,,273.91
2019-02-21 22:19:29 UTC,15,140.42,411.40,671.82,31320.00,0.05,851.30,,273.49
2019-02-21 22:20:49 UTC,16,125.98,364.61,579.57,31320.00,0.05,851.27,,242.31
2019-02-21 22:22:09 UTC,17,71.07,191.59,306.02,31320.00,0.05,851.31,,126.98
2019-02-21 22:23:29 UTC,18,26.82,74.20,107.98,31320.00,0.05,851.30,,51.84
2019-02-21 22:24:49 UTC,19,11.02,30.17,41.10,31320.00,0.05,851.31,,28.33
2019-02-21 22:26:09 UTC,20,2.68,8.02,13.20,31296.00,0.05,851.36,,8.02
2019-02-21 22:27:28 UTC,21,0.32,1.55,2.79,31320.00,0.05,851.36,,1.55
2019-02-21 22:28:48 UTC,22,0.32,0.18,0.42,31320.00,0.05,851.36,,0.18
2019-02-21 22:30:09 UTC,23,0.32,0.11,0.11,31320.00,0.05,851.31,,0.11
2019-02-21 22:31:28 UTC,24,0.32,0.11,0.11,31320.00,0.05,851.25,,0.11
2019-02-21 22:32:48 UTC,25,0.32,0.11,0.11,31320.00,0.05,851.32,,0.11
2019-02-21 22:34:08 UTC,26,0.32,0.11,0.11,31320.00,0.05,851.28,,0.11
2019-02-21 22:35:29 UTC,27,0.32,0.11,0.11,31320.00,0.05,851.29,,0.11
2019-02-21 22:36:48 UTC,28,0.32,0.11,0.11,31320.00,0.05,851.28,,0.11
2019-02-21 22:38:08 UTC,29,0.32,0.11,0.11,31320.00,0.05,851.28,,0.11
2019-02-21 22:39:29 UTC,30,0.32,0.11,0.11,31320.00,0.05,851.29,,0.11
2019-02-21 22:40:49 UTC,31,0.32,0.11,0.11,31320.00,0.05,851.27,,0.11
2019-02-21 22:42:08 UTC,32,0.32,0.11,0.11,31296.00,0.05,851.21,,0.11
2019-02-21 22:43:28 UTC,33,0.32,0.11,0.11,31320.00,0.05,851.34,,0.11
2019-02-21 22:44:48 UTC,34,0.32,0.11,0.11,31320.00,0.05,851.39,,0.11
2019-02-21 22:46:09 UTC,35,0.32,0.11,0.11,31320.00,0.05,851.34,,0.11
2019-02-21 22:47:29 UTC,36,0.32,0.11,0.11,31320.00,0.05,851.36,,0.11
2019-02-26 17:58:27 UTC,37,1.00,1.33,1.33,32056.00,0.05,863.12,,1.33
