created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,ADC,Pressure_hpa,IAQ,PM2.5_ATM_ug/m3
2019-02-21 23:07:39 UTC,1,0.00,0.50,0.50,29288.00,0.03,852.35,,0.50
2019-02-21 23:08:59 UTC,2,0.79,1.67,2.10,29176.00,0.03,852.30,,1.67
2019-02-21 23:10:19 UTC,3,1.04,2.00,2.24,29096.00,0.03,852.26,,2.00
2019-02-21 23:11:39 UTC,4,1.11,2.00,2.24,29096.00,0.03,852.20,,2.00
2019-02-21 23:12:59 UTC,5,0.89,1.51,2.09,29096.00,0.03,852.33,,1.51
2019-02-21 23:15:29 UTC,6,0.10,0.10,0.10,30816.00,0.03,852.30,,0.10
2019-02-21 23:16:47 UTC,7,0.57,1.89,2.20,30816.00,0.03,852.37,,1.89
2019-02-21 23:18:06 UTC,8,0.48,0.83,1.04,30816.00,0.03,852.35,,0.83
2019-02-21 23:19:26 UTC,9,0.26,0.54,0.54,30816.00,0.03,852.39,,0.54
2019-02-21 23:20:49 UTC,10,1.02,1.53,1.53,30816.00,0.03,852.43,,1.53
2019-02-21 23:22:07 UTC,11,0.47,1.20,1.20,30816.00,0.03,852.33,,1.20
2019-02-21 23:23:25 UTC,12,0.15,0.72,0.91,30816.00,0.03,852.39,,0.72
2019-02-21 23:24:46 UTC,13,0.78,1.76,1.76,30816.00,0.03,852.36,,1.76
2019-02-21 23:26:06 UTC,14,0.93,1.59,1.83,30816.00,0.03,852.38,,1.59
2019-02-21 23:27:26 UTC,15,0.43,1.02,1.43,30816.00,0.03,852.38,,1.02
2019-02-21 23:28:47 UTC,16,0.81,1.79,1.96,30816.00,0.03,852.43,,1.79
2019-02-21 23:30:07 UTC,17,0.40,1.07,1.42,30816.00,0.03,852.38,,1.07
2019-02-21 23:31:26 UTC,18,1.02,1.36,1.62,30816.00,0.03,852.47,,1.36
2019-02-21 23:32:46 UTC,19,1.09,1.41,1.43,30816.00,0.03,852.52,,1.41
2019-02-21 23:34:06 UTC,20,6.27,15.20,21.31,30816.00,0.03,852.40,,12.00
2019-02-21 23:35:26 UTC,21,150.50,427.42,712.72,30816.00,0.03,852.47,,284.23
2019-02-21 23:36:46 UTC,22,193.85,563.33,968.35,30816.00,0.03,852.39,,374.91
2019-02-21 23:38:06 UTC,23,103.74,264.58,429.95,30816.00,0.03,852.41,,175.56
2019-02-21 23:39:26 UTC,24,44.57,107.31,166.07,30816.00,0.03,852.45,,70.74
2019-02-21 23:40:46 UTC,25,26.21,65.12,97.31,30816.00,0.03,852.43,,47.14
2019-02-21 23:42:07 UTC,26,14.66,35.75,49.89,30816.00,0.03,852.45,,33.09
2019-02-21 23:43:26 UTC,27,9.15,22.70,30.09,30816.00,0.03,852.45,,22.70
2019-02-21 23:44:46 UTC,28,5.00,12.11,16.93,30816.00,0.03,852.47,,12.11
2019-02-21 23:46:07 UTC,29,1.38,4.47,8.96,30816.00,0.03,852.46,,4.47
2019-02-21 23:47:26 UTC,30,0.96,2.33,4.41,30816.00,0.03,852.49,,2.33
2019-02-21 23:48:47 UTC,31,0.13,0.74,1.13,30816.00,0.03,852.52,,0.74
2019-02-21 23:50:07 UTC,32,0.13,0.26,0.41,30792.00,0.03,852.52,,0.26
2019-02-21 23:51:26 UTC,33,0.13,0.29,0.42,30816.00,0.03,852.53,,0.29
2019-02-21 23:52:48 UTC,34,0.13,0.29,0.44,30816.00,0.03,852.52,,0.29
2019-02-21 23:54:07 UTC,35,0.13,0.29,0.44,30816.00,0.03,852.44,,0.29
2019-02-21 23:55:27 UTC,36,0.13,0.29,0.07,30816.00,0.03,852.59,,0.29
2019-02-21 23:56:46 UTC,37,0.13,0.29,0.07,30816.00,0.03,852.52,,0.29
2019-02-21 23:58:06 UTC,38,0.13,0.29,0.07,30792.00,0.03,852.60,,0.29
2019-02-21 23:59:26 UTC,39,0.13,0.29,0.07,30816.00,0.03,852.56,,0.29
2019-02-22 00:00:46 UTC,40,0.13,0.29,0.07,30816.00,0.03,852.58,,0.29
2019-02-26 18:05:18 UTC,41,0.11,0.11,0.11,31320.00,0.03,864.14,,0.11
2019-02-26 18:06:37 UTC,42,1.21,1.32,2.04,31320.00,0.03,864.19,,1.32
2019-02-26 18:07:57 UTC,43,1.36,1.91,2.76,31320.00,0.03,864.24,,1.91
2019-02-26 18:09:17 UTC,44,0.48,0.76,0.76,31320.00,0.03,864.15,,0.76
2019-02-26 18:10:38 UTC,45,0.48,0.76,0.76,31320.00,0.03,864.23,,0.76
2019-02-26 18:11:59 UTC,46,0.48,0.76,0.76,31320.00,0.03,864.16,,0.76
2019-02-26 18:13:17 UTC,47,0.48,0.76,0.76,31320.00,0.03,864.27,,0.76
2019-02-26 18:14:37 UTC,48,22.13,53.81,83.42,31320.00,0.03,864.41,,37.52
2019-02-26 18:15:59 UTC,49,129.84,343.95,553.02,31320.00,0.03,864.35,,228.53
2019-02-26 18:17:18 UTC,50,136.52,373.90,601.76,31320.00,0.03,864.38,,248.31
2019-02-26 18:18:37 UTC,51,130.95,342.05,548.00,31320.00,0.03,864.27,,227.05
2019-02-26 18:19:57 UTC,52,167.35,466.67,759.89,31320.00,0.03,864.38,,310.41
2019-02-26 18:21:18 UTC,53,223.85,779.42,1357.17,31320.00,0.03,864.41,,518.75
2019-02-26 18:22:47 UTC,54,247.06,1043.74,1964.89,31128.00,0.03,864.41,,695.09
2019-02-26 18:24:04 UTC,55,216.26,760.50,1359.98,31128.00,0.03,864.60,,506.11
2019-02-26 18:25:17 UTC,56,88.29,231.04,362.22,31320.00,0.03,864.62,,153.71
2019-02-26 18:26:37 UTC,57,11.91,27.72,38.56,31320.00,0.03,864.76,,26.02
2019-02-26 18:27:57 UTC,58,3.56,9.09,12.33,31320.00,0.03,864.69,,9.09
2019-02-26 18:29:17 UTC,59,2.11,5.28,8.72,31320.00,0.03,864.71,,5.28
2019-02-26 18:30:39 UTC,60,1.47,4.84,7.00,31320.00,0.03,864.74,,4.84
2019-02-26 18:31:57 UTC,61,0.40,1.82,2.22,31320.00,0.03,864.70,,1.82
2019-02-26 18:33:21 UTC,62,0.68,1.41,2.23,31320.00,0.03,864.78,,1.41
2019-02-26 18:34:38 UTC,63,0.68,0.56,0.93,31320.00,0.03,864.74,,0.56
2019-02-26 18:35:57 UTC,64,0.68,0.26,0.48,31320.00,0.03,864.85,,0.26
2019-02-26 18:37:18 UTC,65,0.68,0.26,0.46,31320.00,0.03,864.92,,0.26
2019-02-26 18:38:37 UTC,66,0.68,0.07,0.18,31296.00,0.03,864.85,,0.07
2019-02-26 18:39:57 UTC,67,0.68,0.07,0.18,31320.00,0.03,864.86,,0.07
2019-02-26 18:41:17 UTC,68,0.68,0.07,0.18,31320.00,0.03,864.85,,0.07
