created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,ADC,Pressure_hpa,IAQ,PM2.5_ATM_ug/m3
2019-02-20 17:24:33 UTC,1,1.00,1.00,1.00,29352.00,0.01,856.90,,1.00
2019-02-20 17:25:53 UTC,2,1.73,2.88,3.73,29240.00,0.01,856.84,,2.88
2019-02-20 17:27:13 UTC,3,1.87,3.29,3.76,29160.00,0.01,856.88,,3.29
2019-02-20 17:28:33 UTC,4,3.02,5.85,7.40,29160.00,0.01,856.87,,5.85
2019-02-20 17:29:53 UTC,5,3.14,5.59,7.61,29160.00,0.01,856.88,,5.59
2019-02-20 17:31:13 UTC,6,2.54,4.83,5.28,29160.00,0.01,856.86,,4.83
2019-02-20 17:32:33 UTC,7,3.85,5.96,6.83,29160.00,0.01,856.86,,5.96
2019-02-20 17:33:53 UTC,8,2.86,5.25,5.68,29160.00,0.01,856.81,,5.25
2019-02-20 17:35:13 UTC,9,2.26,4.43,5.09,29160.00,0.01,856.77,,4.43
2019-02-20 17:37:27 UTC,10,3.20,3.90,3.90,31320.00,0.01,856.73,,3.90
2019-02-20 17:38:42 UTC,11,2.49,4.96,6.80,31320.00,0.01,856.75,,4.96
2019-02-20 17:40:02 UTC,12,2.51,5.04,5.58,31320.00,0.01,856.76,,5.04
2019-02-20 17:41:24 UTC,13,3.41,6.00,7.26,31320.00,0.01,856.75,,6.00
2019-02-20 17:42:43 UTC,14,3.02,5.54,7.39,31320.00,0.01,856.77,,5.54
2019-02-20 17:44:03 UTC,15,2.55,4.84,5.80,31320.00,0.01,856.78,,4.84
2019-02-20 17:45:23 UTC,16,2.28,4.06,5.02,31320.00,0.01,856.76,,4.06
2019-02-20 17:48:03 UTC,17,2.96,5.11,5.98,31320.00,0.03,856.70,,5.11
2019-02-20 17:49:22 UTC,18,3.59,6.91,8.54,31320.00,0.01,856.81,,6.91
2019-02-20 17:50:42 UTC,19,3.37,5.54,6.93,31320.00,0.01,856.74,,5.54
2019-02-20 17:56:15 UTC,20,3.13,5.47,6.31,30096.00,0.01,856.68,,5.47
2019-02-20 17:57:22 UTC,21,1.74,3.87,4.46,29992.00,0.01,856.77,,3.87
2019-02-20 17:58:43 UTC,22,2.49,4.36,5.64,29992.00,0.01,856.68,,4.36
2019-02-20 18:00:02 UTC,23,53.13,134.13,210.71,29992.00,0.01,856.71,,91.64
2019-02-20 18:01:23 UTC,24,218.77,721.88,1271.35,29992.00,0.01,856.75,,480.40
2019-02-20 18:02:42 UTC,25,263.10,1035.71,1954.73,29992.00,0.01,856.70,,689.75
2019-02-20 18:04:02 UTC,26,221.56,735.24,1350.93,29992.00,0.01,856.71,,489.27
2019-02-20 18:05:23 UTC,27,95.91,243.22,397.49,29992.00,0.01,856.73,,161.29
2019-02-20 18:06:43 UTC,28,38.12,92.72,146.49,29992.00,0.01,856.68,,62.44
2019-02-20 18:08:04 UTC,29,16.52,41.56,66.94,29992.00,0.01,856.72,,36.23
2019-02-20 18:09:23 UTC,30,6.89,15.93,28.04,29992.00,0.01,856.74,,15.93
2019-02-20 18:10:43 UTC,31,3.48,9.63,17.19,29992.00,0.01,856.71,,9.63
2019-02-20 18:12:02 UTC,32,2.44,5.11,6.44,29992.00,0.01,856.73,,5.11
2019-02-20 18:13:22 UTC,33,0.89,2.52,4.37,29992.00,0.01,856.65,,2.52
2019-02-20 18:14:42 UTC,34,0.89,2.04,4.04,29992.00,0.01,856.61,,2.04
2019-02-20 18:16:02 UTC,35,0.22,0.59,0.59,29992.00,0.01,856.59,,0.59
2019-02-20 18:17:22 UTC,36,0.22,0.59,0.72,29992.00,0.01,856.65,,0.59
2019-02-20 18:18:42 UTC,37,0.11,0.59,0.61,29992.00,0.01,856.67,,0.59
2019-02-20 18:20:03 UTC,38,0.02,0.74,1.04,29992.00,0.01,856.60,,0.74
2019-02-20 18:21:23 UTC,39,0.09,0.28,0.28,29992.00,0.01,856.64,,0.28
2019-02-20 18:22:43 UTC,40,0.04,0.18,0.78,29992.00,0.01,856.59,,0.18
2019-02-20 18:24:02 UTC,41,0.04,0.47,0.47,29992.00,0.01,856.62,,0.47
2019-02-20 18:25:22 UTC,42,0.04,0.02,0.02,29992.00,0.01,856.66,,0.02
2019-02-20 18:26:44 UTC,43,0.04,0.45,1.13,29992.00,0.01,856.58,,0.45
2019-02-20 18:28:02 UTC,44,0.04,0.78,1.00,29968.00,0.01,856.52,,0.78
2019-02-20 18:29:23 UTC,45,0.04,0.70,0.70,29992.00,0.01,856.46,,0.70
2019-02-20 18:30:42 UTC,46,0.07,0.41,0.41,29992.00,0.01,856.49,,0.41
2019-02-20 18:32:02 UTC,47,0.13,0.46,0.72,29992.00,0.01,856.53,,0.46
2019-02-20 18:33:22 UTC,48,0.13,0.02,0.26,29992.00,0.01,856.47,,0.02
2019-02-20 18:34:43 UTC,49,0.13,0.02,0.30,29992.00,0.01,856.43,,0.02
2019-02-20 18:36:02 UTC,50,0.13,0.19,0.53,29992.00,0.01,856.39,,0.19
2019-02-20 18:37:23 UTC,51,0.13,0.19,0.29,29992.00,0.01,856.38,,0.19
2019-02-20 18:38:43 UTC,52,0.13,0.04,0.04,29992.00,0.01,856.54,,0.04
2019-02-20 18:40:02 UTC,53,0.13,0.04,0.04,29992.00,0.01,856.46,,0.04
2019-02-26 18:05:06 UTC,54,0.90,1.50,1.50,31320.00,0.01,864.54,,1.50
2019-02-26 18:06:25 UTC,55,1.15,1.72,2.48,31320.00,0.01,864.56,,1.72
2019-02-26 18:07:45 UTC,56,1.36,2.02,3.47,31320.00,0.01,864.54,,2.02
2019-02-26 18:09:05 UTC,57,0.79,1.15,1.33,31296.00,0.01,864.49,,1.15
2019-02-26 18:10:25 UTC,58,0.79,1.15,1.33,31320.00,0.01,864.62,,1.15
2019-02-26 18:11:45 UTC,59,0.79,1.15,1.33,31320.00,0.01,864.60,,1.15
2019-02-26 18:13:05 UTC,60,0.79,1.15,1.33,31320.00,0.01,864.69,,1.15
2019-02-26 18:14:25 UTC,61,13.48,33.79,55.57,31320.00,0.01,864.54,,24.48
2019-02-26 18:15:45 UTC,62,137.20,369.40,606.04,31320.00,0.01,864.61,,245.33
2019-02-26 18:17:05 UTC,63,154.09,412.89,688.20,31320.00,0.01,864.65,,274.34
2019-02-26 18:18:25 UTC,64,138.02,363.11,583.83,31320.00,0.01,864.59,,241.15
2019-02-26 18:19:45 UTC,65,184.45,500.17,820.04,31320.00,0.01,864.65,,332.49
2019-02-26 18:21:05 UTC,66,245.91,802.13,1399.43,31320.00,0.01,864.69,,534.02
2019-02-26 18:22:25 UTC,67,273.68,1154.62,2219.28,31320.00,0.01,864.63,,768.74
2019-02-26 18:23:46 UTC,68,253.80,939.98,1690.20,31320.00,0.01,864.85,,625.91
2019-02-26 18:25:05 UTC,69,118.51,320.13,517.58,31320.00,0.01,864.84,,212.56
2019-02-26 18:26:25 UTC,70,18.78,43.11,70.73,31320.00,0.01,864.95,,35.49
2019-02-26 18:27:45 UTC,71,5.66,12.77,19.23,31320.00,0.01,864.90,,12.77
2019-02-26 18:29:05 UTC,72,3.11,8.16,13.20,31320.00,0.01,864.92,,8.16
2019-02-26 18:30:25 UTC,73,2.61,6.50,9.98,31320.00,0.01,864.96,,6.50
2019-02-26 18:31:45 UTC,74,1.24,3.50,6.61,31320.00,0.01,864.97,,3.50
2019-02-26 18:33:05 UTC,75,0.33,2.15,4.07,31320.00,0.01,865.00,,2.15
2019-02-26 18:34:28 UTC,76,0.09,0.91,1.96,31320.00,0.01,865.05,,0.91
2019-02-26 18:35:45 UTC,77,0.09,0.61,1.52,31320.00,0.01,864.98,,0.61
2019-02-26 18:37:09 UTC,78,0.09,0.67,1.22,31320.00,0.01,865.17,,0.67
2019-02-26 18:38:25 UTC,79,0.09,0.09,2.00,31320.00,0.01,865.12,,0.09
2019-02-26 18:39:45 UTC,80,0.09,0.04,0.72,31320.00,0.01,865.08,,0.04
2019-02-26 18:41:06 UTC,81,0.09,0.02,0.13,31320.00,0.01,865.08,,0.02
2019-02-26 18:42:25 UTC,82,0.09,0.27,0.49,31320.00,0.01,864.98,,0.27
2019-02-26 18:43:45 UTC,83,0.09,0.27,0.46,31320.00,0.01,865.08,,0.27
2019-02-26 18:45:09 UTC,84,0.09,0.27,0.17,31320.00,0.01,864.91,,0.27
2019-02-26 18:46:25 UTC,85,0.09,0.27,0.17,31320.00,0.01,865.00,,0.27
2019-02-26 18:48:11 UTC,86,0.00,0.00,0.00,31424.00,0.01,864.90,,0.00
2019-02-26 18:49:31 UTC,87,0.00,0.00,0.00,31424.00,0.01,864.95,,0.00
2019-02-26 18:50:50 UTC,88,0.00,0.00,0.00,31424.00,0.01,864.88,,0.00
2019-02-26 18:52:08 UTC,89,0.00,0.00,0.00,31424.00,0.01,864.85,,0.00
2019-02-26 18:53:28 UTC,90,0.00,0.00,0.00,31424.00,0.01,864.83,,0.00
2019-02-26 18:54:48 UTC,91,0.00,0.00,0.35,31424.00,0.01,864.89,,0.00
2019-02-26 18:56:08 UTC,92,0.00,0.00,0.09,31424.00,0.01,864.80,,0.00
2019-02-26 18:57:28 UTC,93,0.00,0.00,0.17,31424.00,0.01,864.73,,0.00
2019-02-26 18:58:48 UTC,94,0.00,0.00,0.17,31424.00,0.01,864.71,,0.00
2019-02-26 19:00:13 UTC,95,0.00,0.00,0.17,31424.00,0.01,864.80,,0.00
