created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,ADC,Pressure_hpa,IAQ,PM2.5_ATM_ug/m3
2019-02-27 17:37:06 UTC,1,1.00,1.00,1.00,29112.00,0.06,863.41,,1.00
2019-02-27 17:38:26 UTC,2,1.00,0.13,0.13,29032.00,0.06,863.33,,0.13
2019-02-27 17:39:46 UTC,3,1.00,0.28,0.28,28904.00,0.06,863.44,,0.28
2019-02-27 17:41:06 UTC,4,1.00,0.30,0.30,28904.00,0.06,863.38,,0.30
2019-02-27 17:42:26 UTC,5,1.00,0.32,1.25,28904.00,0.06,863.54,,0.32
2019-02-27 17:44:06 UTC,6,0.00,0.00,0.00,31320.00,0.06,863.55,,0.00
2019-02-27 17:45:23 UTC,7,0.00,0.00,0.09,31320.00,0.06,863.55,,0.00
2019-02-27 17:46:43 UTC,8,0.00,0.00,0.20,31320.00,0.07,863.65,,0.00
2019-02-27 17:48:03 UTC,9,0.00,0.00,0.11,31320.00,0.06,863.71,,0.00
2019-02-27 17:49:23 UTC,10,0.00,0.13,0.13,31320.00,0.06,863.59,,0.13
2019-02-27 17:50:43 UTC,11,0.00,0.13,0.13,31320.00,0.06,863.79,,0.13
2019-02-27 17:52:03 UTC,12,0.00,0.13,0.13,31320.00,0.07,863.78,,0.13
2019-02-27 17:53:23 UTC,13,0.00,0.11,0.11,31320.00,0.06,863.76,,0.11
2019-02-27 17:54:43 UTC,14,0.00,0.30,0.30,31320.00,0.07,863.70,,0.30
2019-02-27 17:56:06 UTC,15,0.22,0.96,0.96,31320.00,0.07,863.88,,0.96
2019-02-27 17:57:23 UTC,16,74.16,200.52,287.50,31320.00,0.07,863.87,,134.86
2019-02-27 17:58:43 UTC,17,176.76,510.27,769.31,31320.00,0.07,863.87,,339.31
2019-02-27 18:00:03 UTC,18,132.93,373.98,543.16,31320.00,0.06,863.88,,248.32
2019-02-27 18:01:23 UTC,19,85.00,217.83,308.83,31320.00,0.06,863.88,,144.29
2019-02-27 18:02:43 UTC,20,52.49,133.58,180.84,31320.00,0.06,863.91,,88.20
2019-02-27 18:04:03 UTC,21,50.38,124.29,170.19,31320.00,0.06,863.91,,82.07
2019-02-27 18:05:28 UTC,22,154.85,444.81,653.96,31320.00,0.06,863.90,,295.49
2019-02-27 18:06:43 UTC,23,135.68,372.46,562.88,31320.00,0.07,863.93,,247.39
2019-02-27 18:08:03 UTC,24,51.50,129.93,178.71,31320.00,0.06,864.02,,86.50
2019-02-27 18:09:23 UTC,25,17.96,35.72,46.55,31320.00,0.06,863.99,,31.94
2019-02-27 18:10:43 UTC,26,72.20,193.82,272.02,31320.00,0.06,864.09,,130.70
2019-02-27 18:12:04 UTC,27,222.86,786.14,1214.11,31320.00,0.06,864.14,,523.27
2019-02-27 18:13:26 UTC,28,227.52,815.17,1259.48,31320.00,0.06,864.05,,542.67
2019-02-27 18:14:43 UTC,29,135.51,404.72,587.51,31320.00,0.07,864.08,,269.14
2019-02-27 18:16:03 UTC,30,37.95,99.82,140.18,31320.00,0.06,864.05,,67.84
