created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2019-02-27 17:29:22 UTC,1,0.00,0.00,0.00,0.00,-44.00,68.00,21.00,0.00
2019-02-27 17:30:42 UTC,2,0.00,0.00,0.00,1.00,-43.00,68.00,20.00,0.00
2019-02-27 17:32:02 UTC,3,0.00,0.00,0.00,3.00,-51.00,68.00,20.00,0.00
2019-02-27 17:33:22 UTC,4,0.13,0.37,0.37,4.00,-51.00,68.00,20.00,0.37
2019-02-27 17:34:42 UTC,5,0.13,0.37,0.37,5.00,-50.00,68.00,20.00,0.37
2019-02-27 17:36:02 UTC,6,0.13,0.26,0.57,7.00,-52.00,68.00,20.00,0.26
2019-02-27 17:37:22 UTC,7,0.13,0.26,0.57,8.00,-53.00,68.00,20.00,0.26
2019-02-27 17:38:42 UTC,8,0.13,0.27,0.27,9.00,-51.00,69.00,20.00,0.27
2019-02-27 17:40:02 UTC,9,0.13,0.27,0.52,11.00,-51.00,68.00,20.00,0.27
2019-02-27 17:41:22 UTC,10,0.13,0.07,1.18,12.00,-50.00,68.00,20.00,0.07
2019-02-27 17:44:11 UTC,11,0.00,0.00,0.93,0.00,-50.00,68.00,20.00,0.00
2019-02-27 17:45:20 UTC,12,0.00,0.11,0.55,2.00,-50.00,68.00,20.00,0.11
2019-02-27 17:46:40 UTC,13,0.00,0.11,0.43,3.00,-50.00,68.00,20.00,0.11
2019-02-27 17:48:00 UTC,14,0.00,0.30,0.50,4.00,-51.00,68.00,20.00,0.30
2019-02-27 17:49:20 UTC,15,0.00,0.30,0.33,6.00,-51.00,68.00,20.00,0.30
2019-02-27 17:50:40 UTC,16,0.00,0.30,0.33,7.00,-53.00,68.00,20.00,0.30
2019-02-27 17:52:00 UTC,17,0.00,0.23,0.77,8.00,-51.00,68.00,20.00,0.23
2019-02-27 17:53:20 UTC,18,0.00,0.20,0.80,10.00,-50.00,69.00,20.00,0.20
2019-02-27 17:54:40 UTC,19,0.00,0.24,0.57,11.00,-51.00,70.00,20.00,0.24
2019-02-27 17:56:00 UTC,20,0.91,2.17,5.02,12.00,-50.00,70.00,20.00,2.17
2019-02-27 17:57:20 UTC,21,72.29,178.00,277.69,14.00,-50.00,70.00,19.00,119.89
2019-02-27 17:58:40 UTC,22,167.79,450.30,716.58,15.00,-52.00,71.00,19.00,299.42
2019-02-27 18:00:00 UTC,23,122.33,312.48,505.62,16.00,-49.00,71.00,19.00,207.36
2019-02-27 18:01:20 UTC,24,76.53,184.77,290.86,18.00,-49.00,71.00,19.00,122.26
2019-02-27 18:02:40 UTC,25,48.14,112.98,172.98,19.00,-49.00,72.00,19.00,74.49
2019-02-27 18:04:01 UTC,26,59.25,142.20,220.70,20.00,-50.00,72.00,19.00,94.09
2019-02-27 18:05:20 UTC,27,162.16,438.61,721.95,22.00,-49.00,72.00,19.00,291.66
2019-02-27 18:06:40 UTC,28,130.89,341.38,554.16,23.00,-50.00,72.00,19.00,226.62
2019-02-27 18:08:00 UTC,29,52.60,120.40,181.70,24.00,-48.00,72.00,19.00,80.77
2019-02-27 18:09:20 UTC,30,16.25,32.55,44.77,26.00,-49.00,73.00,19.00,30.20
2019-02-27 18:10:41 UTC,31,73.70,180.65,274.30,27.00,-48.00,73.00,19.00,122.00
2019-02-27 18:12:00 UTC,32,227.50,731.66,1260.48,28.00,-47.00,73.00,19.00,487.16
2019-02-27 18:13:20 UTC,33,230.87,802.00,1409.46,30.00,-50.00,73.00,19.00,533.80
2019-02-27 18:14:40 UTC,34,153.34,427.27,713.02,31.00,-50.00,73.00,19.00,284.12
2019-02-27 18:16:00 UTC,35,44.22,109.78,171.00,32.00,-47.00,73.00,19.00,73.95
2019-02-27 18:17:20 UTC,36,13.39,31.34,46.54,34.00,-48.00,73.00,19.00,29.32
2019-02-27 18:18:40 UTC,37,4.24,9.67,16.93,35.00,-48.00,73.00,19.00,9.67
2019-02-27 18:20:00 UTC,38,1.39,4.16,6.82,36.00,-49.00,73.00,19.00,4.16
2019-02-27 18:21:20 UTC,39,0.93,3.35,5.98,38.00,-48.00,73.00,19.00,3.35
2019-02-27 18:22:40 UTC,40,0.48,1.55,1.80,39.00,-47.00,73.00,18.00,1.55
2019-02-27 18:24:03 UTC,41,0.48,0.35,0.50,40.00,-48.00,73.00,18.00,0.35
2019-02-27 18:25:20 UTC,42,0.48,0.11,0.41,42.00,-49.00,74.00,18.00,0.11
2019-02-27 18:26:40 UTC,43,0.20,0.33,0.33,43.00,-49.00,74.00,18.00,0.33
2019-02-27 18:28:00 UTC,44,0.20,0.23,0.23,44.00,-49.00,74.00,18.00,0.23
2019-02-27 18:29:20 UTC,45,0.20,0.23,0.23,46.00,-48.00,74.00,18.00,0.23
2019-02-27 18:30:40 UTC,46,0.20,0.16,0.16,47.00,-48.00,74.00,18.00,0.16
2019-02-27 18:32:00 UTC,47,0.20,0.15,0.15,48.00,-51.00,74.00,18.00,0.15
2019-02-27 18:33:20 UTC,48,0.20,0.15,0.15,50.00,-48.00,74.00,18.00,0.15
2019-02-27 18:34:40 UTC,49,0.20,0.15,0.23,51.00,-50.00,74.00,18.00,0.15
2019-02-27 18:36:00 UTC,50,0.20,0.20,0.82,52.00,-50.00,74.00,18.00,0.20
2019-02-27 18:37:20 UTC,51,0.20,0.04,0.33,54.00,-48.00,74.00,18.00,0.04
2019-02-27 18:38:40 UTC,52,0.20,0.04,0.33,55.00,-49.00,74.00,18.00,0.04
2019-02-27 18:40:00 UTC,53,0.20,0.04,0.33,56.00,-49.00,74.00,18.00,0.04
2019-02-27 18:41:20 UTC,54,0.20,0.04,0.33,58.00,-50.00,74.00,18.00,0.04
2019-02-27 18:42:40 UTC,55,0.20,0.04,0.33,59.00,-49.00,75.00,18.00,0.04
2019-02-27 18:44:01 UTC,56,0.20,0.04,0.33,60.00,-49.00,75.00,18.00,0.04
2019-02-27 18:45:20 UTC,57,0.20,0.04,0.33,62.00,-47.00,75.00,18.00,0.04
2019-02-27 18:46:40 UTC,58,0.20,0.04,0.33,63.00,-47.00,75.00,18.00,0.04
2019-02-27 18:48:00 UTC,59,0.20,0.09,0.14,64.00,-47.00,75.00,18.00,0.09
2019-02-27 18:49:20 UTC,60,0.20,0.11,0.43,66.00,-49.00,75.00,18.00,0.11
2019-02-27 18:50:40 UTC,61,0.20,0.23,0.59,67.00,-48.00,75.00,18.00,0.23
2019-02-27 18:52:00 UTC,62,0.20,0.23,0.26,68.00,-49.00,75.00,18.00,0.23
2019-02-27 18:53:20 UTC,63,0.20,0.23,0.33,70.00,-46.00,75.00,18.00,0.23
2019-02-27 18:54:40 UTC,64,0.20,0.23,0.10,71.00,-49.00,75.00,18.00,0.23
2019-02-27 18:56:00 UTC,65,0.20,0.23,0.10,72.00,-48.00,75.00,18.00,0.23
2019-02-27 18:57:23 UTC,66,0.20,0.23,0.10,74.00,-50.00,75.00,18.00,0.23
2019-02-27 18:58:40 UTC,67,0.20,0.11,0.11,75.00,-49.00,75.00,18.00,0.11
2019-02-27 19:00:00 UTC,68,0.20,0.33,0.33,76.00,-49.00,75.00,18.00,0.33
