created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2019-02-27 17:38:11 UTC,1,0.00,0.00,0.00,1.00,-52.00,68.00,21.00,0.00
2019-02-27 17:40:04 UTC,2,0.00,0.00,0.00,0.00,-51.00,68.00,21.00,0.00
2019-02-27 17:41:16 UTC,3,0.00,0.00,0.00,1.00,-44.00,68.00,21.00,0.00
2019-02-27 17:43:14 UTC,4,0.62,0.62,0.62,0.00,-44.00,68.00,21.00,0.62
2019-02-27 17:44:34 UTC,5,0.62,0.62,0.62,1.00,-46.00,68.00,21.00,0.62
2019-02-27 17:45:53 UTC,6,0.62,0.62,0.62,3.00,-46.00,68.00,21.00,0.62
2019-02-27 17:47:13 UTC,7,0.62,0.62,0.62,4.00,-44.00,68.00,21.00,0.62
2019-02-27 17:48:34 UTC,8,0.62,0.62,0.62,5.00,-45.00,68.00,21.00,0.62
2019-02-27 17:49:54 UTC,9,0.62,0.62,0.62,7.00,-45.00,68.00,21.00,0.62
2019-02-27 17:51:14 UTC,10,0.62,0.62,0.62,8.00,-48.00,68.00,21.00,0.62
2019-02-27 17:52:33 UTC,11,0.62,0.20,0.20,9.00,-45.00,68.00,21.00,0.20
2019-02-27 17:53:54 UTC,12,0.05,0.64,0.64,11.00,-48.00,69.00,21.00,0.64
2019-02-27 17:55:14 UTC,13,0.05,0.64,0.64,12.00,-49.00,69.00,21.00,0.64
2019-02-27 17:56:34 UTC,14,15.53,43.16,57.40,13.00,-48.00,69.00,21.00,30.37
2019-02-27 17:57:54 UTC,15,141.91,475.00,697.80,15.00,-48.00,70.00,21.00,315.87
2019-02-27 17:59:14 UTC,16,156.88,535.91,802.95,16.00,-48.00,70.00,21.00,356.40
2019-02-27 18:00:34 UTC,17,107.43,330.93,487.09,17.00,-49.00,70.00,20.00,219.89
2019-02-27 18:01:54 UTC,18,67.04,192.29,272.29,19.00,-49.00,70.00,20.00,127.27
2019-02-27 18:03:13 UTC,19,42.63,120.19,162.63,20.00,-49.00,71.00,20.00,79.37
2019-02-27 18:04:34 UTC,20,105.31,328.02,456.10,21.00,-48.00,71.00,20.00,218.00
2019-02-27 18:05:54 UTC,21,154.70,529.58,781.42,23.00,-48.00,71.00,20.00,352.21
2019-02-27 18:07:14 UTC,22,83.60,254.40,362.00,24.00,-48.00,71.00,20.00,168.93
2019-02-27 18:08:34 UTC,23,31.74,84.86,114.74,25.00,-48.00,71.00,20.00,59.65
2019-02-27 18:09:54 UTC,24,18.95,45.45,56.55,27.00,-49.00,72.00,20.00,36.95
2019-02-27 18:11:14 UTC,25,142.02,504.68,757.51,28.00,-49.00,72.00,20.00,335.74
2019-02-27 18:12:34 UTC,26,202.53,953.43,1492.62,29.00,-48.00,72.00,20.00,634.81
2019-02-27 18:13:54 UTC,27,175.11,672.39,1026.41,31.00,-50.00,72.00,20.00,447.54
2019-02-27 18:15:14 UTC,28,76.56,243.26,347.95,32.00,-49.00,72.00,20.00,161.35
2019-02-27 18:16:34 UTC,29,21.72,60.28,81.67,33.00,-48.00,72.00,20.00,45.35
2019-02-27 18:17:54 UTC,30,5.29,17.04,22.89,35.00,-48.00,72.00,20.00,17.04
2019-02-27 18:19:13 UTC,31,1.69,6.49,8.42,36.00,-49.00,73.00,20.00,6.49
2019-02-27 18:20:34 UTC,32,0.62,3.11,3.70,37.00,-50.00,73.00,20.00,3.11
2019-02-27 18:21:54 UTC,33,0.23,1.11,1.16,39.00,-50.00,73.00,20.00,1.11
2019-02-27 18:23:13 UTC,34,0.23,0.32,0.74,40.00,-53.00,73.00,19.00,0.32
2019-02-27 18:24:34 UTC,35,0.23,0.32,0.18,41.00,-50.00,73.00,19.00,0.32
2019-02-27 18:25:54 UTC,36,0.23,0.32,0.18,43.00,-46.00,73.00,19.00,0.32
2019-02-27 18:27:14 UTC,37,0.23,0.32,0.18,44.00,-47.00,73.00,19.00,0.32
2019-02-27 18:28:34 UTC,38,0.23,0.32,0.18,45.00,-47.00,73.00,19.00,0.32
2019-02-27 18:29:54 UTC,39,0.23,0.32,0.18,47.00,-48.00,73.00,19.00,0.32
2019-02-27 18:31:14 UTC,40,0.23,0.32,0.18,48.00,-48.00,73.00,19.00,0.32
2019-02-27 18:32:34 UTC,41,0.23,0.32,0.18,49.00,-49.00,74.00,19.00,0.32
2019-02-27 18:33:54 UTC,42,0.23,0.32,0.18,51.00,-50.00,74.00,19.00,0.32
2019-02-27 18:35:14 UTC,43,0.23,0.32,0.18,52.00,-50.00,74.00,19.00,0.32
2019-02-27 18:36:37 UTC,44,0.23,0.32,0.18,53.00,-47.00,74.00,19.00,0.32
2019-02-27 18:37:54 UTC,45,0.23,0.32,0.18,55.00,-50.00,74.00,19.00,0.32
2019-02-27 18:39:14 UTC,46,0.23,0.32,0.18,56.00,-48.00,74.00,19.00,0.32
2019-02-27 18:40:34 UTC,47,0.23,0.32,0.18,57.00,-49.00,74.00,19.00,0.32
2019-02-27 18:41:54 UTC,48,0.23,0.32,0.13,59.00,-49.00,74.00,19.00,0.32
2019-02-27 18:43:14 UTC,49,0.23,0.32,0.13,60.00,-52.00,74.00,19.00,0.32
2019-02-27 18:44:34 UTC,50,0.23,0.32,0.13,61.00,-48.00,74.00,19.00,0.32
2019-02-27 18:45:54 UTC,51,0.23,0.32,0.13,63.00,-51.00,74.00,19.00,0.32
