created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2019-02-21 23:02:31 UTC,1,3.00,3.00,3.00,0.00,-55.00,68.00,20.00,3.00
2019-02-21 23:03:51 UTC,2,1.02,1.65,2.91,1.00,-49.00,68.00,19.00,1.65
2019-02-21 23:05:11 UTC,3,0.80,2.20,3.87,3.00,-56.00,68.00,19.00,2.20
2019-02-21 23:06:31 UTC,4,0.50,1.02,1.93,4.00,-58.00,68.00,19.00,1.02
2019-02-21 23:07:51 UTC,5,0.73,1.33,2.38,5.00,-54.00,68.00,19.00,1.33
2019-02-21 23:09:11 UTC,6,0.66,1.28,1.60,7.00,-54.00,68.00,19.00,1.28
2019-02-21 23:10:31 UTC,7,0.72,1.76,1.83,8.00,-54.00,68.00,19.00,1.76
2019-02-21 23:11:51 UTC,8,0.67,1.53,2.07,9.00,-53.00,68.00,19.00,1.53
2019-02-21 23:13:11 UTC,9,0.83,1.70,2.00,11.00,-56.00,68.00,19.00,1.70
2019-02-21 23:15:30 UTC,10,0.33,0.80,0.80,0.00,-55.00,68.00,19.00,0.80
2019-02-21 23:16:46 UTC,11,0.72,1.41,1.74,2.00,-55.00,68.00,19.00,1.41
2019-02-21 23:18:06 UTC,12,0.22,1.04,1.04,3.00,-55.00,68.00,19.00,1.04
2019-02-21 23:19:25 UTC,13,0.64,2.13,2.53,4.00,-55.00,68.00,19.00,2.13
2019-02-21 23:20:45 UTC,14,0.98,2.24,2.57,5.00,-54.00,68.00,19.00,2.24
2019-02-21 23:22:05 UTC,15,0.82,1.96,2.51,7.00,-55.00,68.00,19.00,1.96
2019-02-21 23:23:25 UTC,16,1.18,2.07,2.44,8.00,-56.00,68.00,19.00,2.07
2019-02-21 23:24:45 UTC,17,0.83,1.33,1.48,10.00,-56.00,68.00,19.00,1.33
2019-02-21 23:26:05 UTC,18,0.67,1.11,1.65,11.00,-55.00,68.00,19.00,1.11
2019-02-21 23:27:26 UTC,19,0.53,0.96,1.27,12.00,-48.00,68.00,19.00,0.96
2019-02-21 23:28:45 UTC,20,0.67,1.53,1.53,14.00,-49.00,69.00,19.00,1.53
2019-02-21 23:30:06 UTC,21,0.44,1.04,1.91,15.00,-50.00,69.00,19.00,1.04
2019-02-21 23:31:25 UTC,22,0.89,1.52,2.37,16.00,-49.00,68.00,19.00,1.52
2019-02-21 23:32:45 UTC,23,0.53,1.22,1.53,17.00,-49.00,69.00,19.00,1.22
2019-02-21 23:34:05 UTC,24,5.05,11.16,16.55,19.00,-52.00,70.00,19.00,9.77
2019-02-21 23:35:25 UTC,25,109.78,281.22,451.67,20.00,-49.00,70.00,19.00,187.18
2019-02-21 23:36:45 UTC,26,159.27,424.53,698.96,22.00,-49.00,70.00,19.00,282.31
2019-02-21 23:38:06 UTC,27,102.43,252.82,406.76,23.00,-49.00,70.00,18.00,167.76
2019-02-21 23:39:25 UTC,28,51.41,126.50,191.98,24.00,-50.00,71.00,18.00,83.59
2019-02-21 23:40:46 UTC,29,29.60,68.68,108.63,26.00,-50.00,71.00,18.00,48.72
2019-02-21 23:42:05 UTC,30,16.29,42.53,65.58,27.00,-49.00,71.00,18.00,37.07
2019-02-21 23:43:25 UTC,31,9.43,26.19,39.51,28.00,-49.00,71.00,18.00,25.98
2019-02-21 23:44:45 UTC,32,4.48,14.17,22.87,29.00,-47.00,72.00,18.00,14.17
2019-02-21 23:46:05 UTC,33,3.16,6.33,12.31,31.00,-48.00,72.00,18.00,6.33
2019-02-21 23:47:25 UTC,34,0.93,4.22,6.58,32.00,-48.00,72.00,18.00,4.22
2019-02-21 23:48:46 UTC,35,0.57,2.13,4.76,34.00,-48.00,72.00,17.00,2.13
2019-02-21 23:50:06 UTC,36,0.57,1.39,2.84,35.00,-49.00,72.00,17.00,1.39
2019-02-21 23:51:25 UTC,37,0.57,0.70,0.89,36.00,-49.00,72.00,17.00,0.70
2019-02-21 23:52:45 UTC,38,0.57,0.70,0.05,38.00,-48.00,73.00,17.00,0.70
2019-02-21 23:54:06 UTC,39,0.57,0.70,0.26,39.00,-48.00,73.00,17.00,0.70
2019-02-21 23:55:25 UTC,40,0.57,0.70,0.26,40.00,-47.00,73.00,17.00,0.70
2019-02-21 23:56:45 UTC,41,0.57,0.70,0.26,42.00,-47.00,73.00,17.00,0.70
2019-02-21 23:58:05 UTC,42,0.57,0.70,0.26,43.00,-50.00,73.00,17.00,0.70
2019-02-21 23:59:25 UTC,43,0.57,0.70,0.26,44.00,-49.00,73.00,17.00,0.70
2019-02-22 00:00:45 UTC,44,0.57,0.70,0.26,45.00,-48.00,73.00,17.00,0.70
2019-02-26 17:57:50 UTC,45,2.07,2.87,2.93,0.00,-45.00,63.00,22.00,2.87
2019-02-26 17:59:09 UTC,46,1.29,2.69,3.20,1.00,-50.00,64.00,21.00,2.69
2019-02-26 18:00:29 UTC,47,1.00,2.11,2.44,3.00,-50.00,64.00,21.00,2.11
2019-02-26 18:01:49 UTC,48,0.93,1.67,2.22,4.00,-51.00,65.00,20.00,1.67
2019-02-26 18:03:09 UTC,49,1.48,2.61,2.61,5.00,-52.00,66.00,20.00,2.61
2019-02-26 18:04:29 UTC,50,1.40,2.44,3.16,7.00,-49.00,66.00,20.00,2.44
2019-02-26 18:05:49 UTC,51,0.70,1.67,2.39,8.00,-50.00,67.00,20.00,1.67
2019-02-26 18:07:09 UTC,52,0.87,1.85,2.48,9.00,-47.00,67.00,19.00,1.85
2019-02-26 18:08:29 UTC,53,0.40,1.71,1.71,11.00,-48.00,68.00,19.00,1.71
2019-02-26 18:09:50 UTC,54,0.40,0.38,0.38,12.00,-48.00,68.00,19.00,0.38
2019-02-26 18:11:09 UTC,55,0.40,0.38,0.38,13.00,-51.00,69.00,19.00,0.38
2019-02-26 18:12:29 UTC,56,0.40,0.38,0.38,15.00,-51.00,69.00,19.00,0.38
2019-02-26 18:13:49 UTC,57,0.51,1.64,2.13,16.00,-49.00,69.00,18.00,1.64
2019-02-26 18:15:09 UTC,58,63.55,162.21,259.95,17.00,-49.00,70.00,18.00,110.02
2019-02-26 18:16:29 UTC,59,126.50,337.63,561.72,19.00,-48.00,70.00,18.00,224.23
2019-02-26 18:17:49 UTC,60,115.62,303.89,482.57,20.00,-48.00,70.00,18.00,201.83
2019-02-26 18:19:09 UTC,61,131.59,349.50,564.55,21.00,-49.00,71.00,18.00,232.23
2019-02-26 18:20:29 UTC,62,185.83,529.40,879.07,23.00,-48.00,71.00,18.00,352.24
2019-02-26 18:21:49 UTC,63,264.60,940.28,1710.09,24.00,-48.00,71.00,18.00,626.04
2019-02-26 18:23:09 UTC,64,268.91,985.02,1810.02,25.00,-48.00,72.00,17.00,655.98
2019-02-26 18:24:29 UTC,65,172.90,511.12,880.55,27.00,-48.00,72.00,17.00,340.02
2019-02-26 18:25:49 UTC,66,34.09,85.67,130.60,28.00,-48.00,72.00,17.00,60.81
2019-02-26 18:27:09 UTC,67,7.84,21.43,33.64,29.00,-47.00,72.00,17.00,21.18
2019-02-26 18:28:29 UTC,68,2.98,10.35,16.15,31.00,-49.00,73.00,17.00,10.35
2019-02-26 18:29:49 UTC,69,3.02,10.57,16.50,32.00,-50.00,73.00,17.00,10.57
2019-02-26 18:31:09 UTC,70,2.22,6.09,11.20,33.00,-49.00,73.00,17.00,6.09
2019-02-26 18:32:29 UTC,71,1.42,3.49,6.44,35.00,-47.00,73.00,17.00,3.49
2019-02-26 18:33:49 UTC,72,0.36,2.60,5.57,36.00,-50.00,74.00,16.00,2.60
2019-02-26 18:35:09 UTC,73,0.36,1.00,3.22,37.00,-49.00,74.00,16.00,1.00
2019-02-26 18:36:29 UTC,74,0.36,0.68,1.23,39.00,-55.00,74.00,16.00,0.68
2019-02-26 18:37:49 UTC,75,0.36,0.33,0.69,40.00,-50.00,74.00,16.00,0.33
2019-02-26 18:39:09 UTC,76,0.36,0.22,0.22,41.00,-49.00,74.00,16.00,0.22
2019-02-26 18:40:29 UTC,77,0.36,0.22,0.22,43.00,-48.00,74.00,16.00,0.22
2019-02-26 18:41:49 UTC,78,0.36,0.22,0.22,44.00,-48.00,75.00,16.00,0.22
2019-02-26 18:43:09 UTC,79,0.36,0.22,0.22,45.00,-48.00,75.00,16.00,0.22
2019-02-26 18:44:29 UTC,80,0.36,0.22,0.11,47.00,-48.00,75.00,16.00,0.22
2019-02-26 18:45:49 UTC,81,0.36,0.22,0.11,48.00,-48.00,75.00,16.00,0.22
2019-02-26 18:47:09 UTC,82,0.36,0.22,0.11,49.00,-47.00,75.00,16.00,0.22
