created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2019-02-27 17:25:04 UTC,1,0.14,0.48,1.11,1.00,-48.00,69.00,21.00,0.48
2019-02-27 17:26:24 UTC,2,0.39,0.39,0.39,3.00,-48.00,69.00,21.00,0.39
2019-02-27 17:27:44 UTC,3,0.04,0.11,0.22,4.00,-50.00,69.00,21.00,0.11
2019-02-27 17:29:04 UTC,4,0.20,0.20,0.49,5.00,-47.00,69.00,21.00,0.20
2019-02-27 17:30:24 UTC,5,0.20,0.19,0.32,7.00,-39.00,69.00,20.00,0.19
2019-02-27 17:31:44 UTC,6,0.20,0.27,0.49,8.00,-43.00,69.00,20.00,0.27
2019-02-27 17:33:04 UTC,7,0.20,0.27,0.07,9.00,-45.00,69.00,20.00,0.27
2019-02-27 17:34:24 UTC,8,0.20,0.04,0.04,11.00,-43.00,69.00,21.00,0.04
2019-02-27 17:35:44 UTC,9,0.20,0.32,0.64,12.00,-44.00,69.00,21.00,0.32
2019-02-27 17:37:04 UTC,10,0.20,0.11,0.24,13.00,-54.00,69.00,21.00,0.11
2019-02-27 17:38:24 UTC,11,0.20,0.22,0.40,15.00,-54.00,69.00,21.00,0.22
2019-02-27 17:39:44 UTC,12,0.07,0.14,0.32,16.00,-55.00,69.00,21.00,0.14
2019-02-27 17:41:04 UTC,13,0.04,0.49,1.02,17.00,-52.00,69.00,21.00,0.49
2019-02-27 17:42:24 UTC,14,0.15,0.15,0.15,19.00,-51.00,69.00,20.00,0.15
2019-02-27 17:44:02 UTC,15,0.47,0.67,1.20,0.00,-52.00,69.00,21.00,0.67
2019-02-27 17:45:17 UTC,16,0.47,0.07,0.53,1.00,-51.00,69.00,20.00,0.07
2019-02-27 17:46:37 UTC,17,0.09,0.09,0.09,3.00,-53.00,69.00,20.00,0.09
2019-02-27 17:47:57 UTC,18,0.09,0.09,0.09,4.00,-54.00,69.00,21.00,0.09
2019-02-27 17:49:17 UTC,19,0.11,0.24,0.24,5.00,-53.00,69.00,21.00,0.24
2019-02-27 17:50:37 UTC,20,0.11,0.24,0.36,7.00,-55.00,69.00,21.00,0.24
2019-02-27 17:51:57 UTC,21,0.11,0.18,0.29,8.00,-49.00,69.00,21.00,0.18
2019-02-27 17:53:17 UTC,22,0.11,0.16,0.51,9.00,-44.00,70.00,21.00,0.16
2019-02-27 17:54:37 UTC,23,0.13,0.50,0.57,11.00,-47.00,70.00,21.00,0.50
2019-02-27 17:55:57 UTC,24,0.13,0.67,1.20,12.00,-49.00,70.00,20.00,0.67
2019-02-27 17:57:17 UTC,25,42.59,121.67,191.74,13.00,-47.00,71.00,20.00,83.04
2019-02-27 17:58:37 UTC,26,122.63,388.43,660.50,15.00,-47.00,71.00,20.00,258.13
2019-02-27 17:59:57 UTC,27,103.36,308.13,522.16,16.00,-50.00,71.00,20.00,204.69
2019-02-27 18:01:17 UTC,28,62.74,169.74,280.38,17.00,-48.00,71.00,20.00,112.36
2019-02-27 18:02:38 UTC,29,38.88,101.23,157.84,19.00,-49.00,72.00,20.00,66.84
2019-02-27 18:03:57 UTC,30,35.46,93.93,149.41,20.00,-48.00,72.00,20.00,63.44
2019-02-27 18:05:17 UTC,31,112.98,339.91,583.50,21.00,-50.00,72.00,20.00,225.86
2019-02-27 18:06:37 UTC,32,102.66,308.23,516.39,23.00,-51.00,72.00,20.00,204.52
2019-02-27 18:07:57 UTC,33,41.07,108.09,174.70,24.00,-48.00,72.00,20.00,72.47
2019-02-27 18:09:17 UTC,34,13.67,30.69,41.58,25.00,-49.00,73.00,20.00,28.44
2019-02-27 18:10:37 UTC,35,39.89,107.30,167.50,27.00,-48.00,73.00,20.00,74.89
2019-02-27 18:11:57 UTC,36,170.71,603.29,1070.07,28.00,-49.00,73.00,20.00,401.58
2019-02-27 18:13:20 UTC,37,186.00,705.64,1312.87,30.00,-49.00,73.00,20.00,469.70
2019-02-27 18:14:38 UTC,38,122.32,399.55,674.36,31.00,-51.00,73.00,20.00,265.70
2019-02-27 18:15:58 UTC,39,35.33,99.90,164.72,32.00,-50.00,73.00,19.00,67.56
