created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2019-02-27 17:36:11 UTC,1,0.00,0.00,0.00,0.00,-50.00,68.00,20.00,0.00
2019-02-27 17:37:31 UTC,2,0.00,0.00,0.00,1.00,-48.00,68.00,20.00,0.00
2019-02-27 17:38:51 UTC,3,0.00,0.00,0.00,3.00,-49.00,68.00,20.00,0.00
2019-02-27 17:40:11 UTC,4,0.00,0.10,0.10,4.00,-50.00,68.00,20.00,0.10
2019-02-27 17:41:33 UTC,5,0.00,0.10,0.10,5.00,-52.00,68.00,20.00,0.10
2019-02-27 17:44:05 UTC,6,0.00,0.00,0.00,0.00,-45.00,68.00,19.00,0.00
2019-02-27 17:45:20 UTC,7,0.00,0.00,0.09,2.00,-45.00,68.00,19.00,0.00
2019-02-27 17:46:40 UTC,8,0.00,0.09,0.09,3.00,-46.00,68.00,19.00,0.09
2019-02-27 17:48:00 UTC,9,0.00,0.39,0.73,4.00,-47.00,68.00,19.00,0.39
2019-02-27 17:49:20 UTC,10,0.00,0.39,0.73,5.00,-45.00,68.00,19.00,0.39
2019-02-27 17:50:43 UTC,11,0.00,0.11,0.36,7.00,-44.00,68.00,19.00,0.11
2019-02-27 17:52:00 UTC,12,0.00,0.02,0.02,8.00,-44.00,68.00,19.00,0.02
2019-02-27 17:53:20 UTC,13,0.00,0.07,0.57,9.00,-46.00,68.00,20.00,0.07
2019-02-27 17:54:43 UTC,14,0.00,0.22,0.22,11.00,-48.00,69.00,20.00,0.22
2019-02-27 17:56:00 UTC,15,0.26,1.21,1.79,12.00,-48.00,69.00,20.00,1.21
2019-02-27 17:57:20 UTC,16,72.28,213.91,313.85,13.00,-49.00,69.00,19.00,143.23
2019-02-27 17:58:40 UTC,17,155.90,489.00,737.17,15.00,-48.00,70.00,19.00,325.38
2019-02-27 18:00:00 UTC,18,114.91,341.13,515.69,16.00,-49.00,70.00,19.00,226.69
2019-02-27 18:01:20 UTC,19,72.39,213.14,301.10,17.00,-50.00,70.00,19.00,141.29
2019-02-27 18:02:40 UTC,20,45.72,127.49,174.93,19.00,-51.00,70.00,19.00,84.23
2019-02-27 18:04:00 UTC,21,48.53,138.07,196.78,20.00,-50.00,71.00,19.00,91.20
2019-02-27 18:05:20 UTC,22,140.00,438.21,644.21,22.00,-47.00,71.00,19.00,291.28
2019-02-27 18:06:40 UTC,23,114.40,348.86,514.70,23.00,-45.00,71.00,19.00,231.77
2019-02-27 18:08:00 UTC,24,44.56,120.81,167.95,24.00,-48.00,71.00,19.00,80.74
2019-02-27 18:09:20 UTC,25,13.96,30.24,40.11,26.00,-46.00,71.00,19.00,28.69
2019-02-27 18:10:40 UTC,26,67.60,192.38,282.38,27.00,-47.00,71.00,19.00,129.51
2019-02-27 18:12:00 UTC,27,202.81,759.91,1218.13,28.00,-50.00,72.00,19.00,505.91
2019-02-27 18:13:20 UTC,28,207.16,773.70,1220.73,29.00,-47.00,72.00,19.00,514.98
2019-02-27 18:14:40 UTC,29,110.84,351.86,524.30,31.00,-47.00,72.00,19.00,233.86
2019-02-27 18:16:00 UTC,30,30.21,86.40,122.71,32.00,-50.00,72.00,19.00,59.90
2019-02-27 18:17:20 UTC,31,8.71,24.52,37.29,34.00,-47.00,72.00,19.00,23.87
2019-02-27 18:18:40 UTC,32,1.91,7.44,12.29,35.00,-49.00,72.00,18.00,7.44
2019-02-27 18:20:00 UTC,33,0.78,3.65,5.33,36.00,-46.00,72.00,18.00,3.65
2019-02-27 18:21:20 UTC,34,0.68,2.73,3.36,37.00,-50.00,72.00,18.00,2.73
2019-02-27 18:22:40 UTC,35,0.68,1.56,2.11,39.00,-47.00,73.00,18.00,1.56
2019-02-27 18:24:00 UTC,36,0.68,1.56,0.11,40.00,-47.00,73.00,18.00,1.56
2019-02-27 18:25:20 UTC,37,0.27,0.27,0.82,41.00,-47.00,73.00,18.00,0.27
2019-02-27 18:26:40 UTC,38,0.27,0.27,0.35,43.00,-46.00,73.00,18.00,0.27
2019-02-27 18:28:00 UTC,39,0.27,0.27,0.07,44.00,-50.00,73.00,18.00,0.27
2019-02-27 18:29:20 UTC,40,0.27,0.27,0.07,46.00,-50.00,73.00,18.00,0.27
2019-02-27 18:30:40 UTC,41,0.27,0.06,0.06,47.00,-47.00,73.00,18.00,0.06
2019-02-27 18:32:00 UTC,42,0.27,0.06,0.29,48.00,-48.00,73.00,18.00,0.06
2019-02-27 18:33:20 UTC,43,0.27,0.06,0.29,50.00,-48.00,73.00,18.00,0.06
2019-02-27 18:34:40 UTC,44,0.27,0.26,0.26,51.00,-47.00,73.00,18.00,0.26
2019-02-27 18:36:00 UTC,45,0.27,0.26,0.26,52.00,-48.00,73.00,18.00,0.26
2019-02-27 18:37:20 UTC,46,0.27,0.26,0.26,54.00,-48.00,74.00,18.00,0.26
2019-02-27 18:38:40 UTC,47,0.27,0.26,0.26,55.00,-48.00,74.00,18.00,0.26
2019-02-27 18:40:00 UTC,48,0.27,0.26,0.26,56.00,-50.00,74.00,18.00,0.26
2019-02-27 18:41:20 UTC,49,0.27,0.26,0.26,57.00,-48.00,74.00,18.00,0.26
2019-02-27 18:42:40 UTC,50,0.27,0.26,0.26,59.00,-48.00,74.00,18.00,0.26
2019-02-27 18:44:01 UTC,51,0.27,0.26,0.26,60.00,-45.00,74.00,18.00,0.26
2019-02-27 18:45:20 UTC,52,0.27,0.26,0.26,61.00,-49.00,74.00,18.00,0.26
