created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2019-02-21 22:00:46 UTC,1,1.60,3.40,4.38,1.00,-59.00,68.00,22.00,3.40
2019-02-21 22:02:06 UTC,2,2.23,3.82,5.61,3.00,-47.00,69.00,22.00,3.82
2019-02-21 22:03:26 UTC,3,2.17,3.67,4.50,4.00,-51.00,69.00,22.00,3.67
2019-02-21 22:04:46 UTC,4,2.00,4.17,4.91,5.00,-49.00,69.00,22.00,4.17
2019-02-21 22:06:06 UTC,5,2.64,4.56,6.20,7.00,-50.00,69.00,22.00,4.56
2019-02-21 22:07:26 UTC,6,2.96,4.83,5.66,8.00,-52.00,70.00,21.00,4.83
2019-02-21 22:10:10 UTC,7,1.13,3.53,3.53,0.00,-49.00,70.00,21.00,3.53
2019-02-21 22:11:26 UTC,8,1.74,3.11,3.11,2.00,-55.00,70.00,21.00,3.11
2019-02-21 22:12:46 UTC,9,2.57,3.78,4.43,3.00,-56.00,70.00,21.00,3.78
2019-02-21 22:14:06 UTC,10,1.78,4.00,4.13,4.00,-53.00,70.00,21.00,4.00
2019-02-21 22:15:25 UTC,11,1.83,3.51,4.32,6.00,-55.00,70.00,21.00,3.51
2019-02-21 22:16:45 UTC,12,49.36,122.02,172.02,7.00,-54.00,71.00,21.00,84.17
2019-02-21 22:18:05 UTC,13,158.02,413.87,596.22,8.00,-52.00,71.00,21.00,274.72
2019-02-21 22:19:26 UTC,14,155.84,416.58,606.31,10.00,-52.00,72.00,21.00,276.82
2019-02-21 22:20:45 UTC,15,133.36,353.94,514.57,11.00,-57.00,72.00,20.00,235.02
2019-02-21 22:22:06 UTC,16,66.55,165.86,233.55,12.00,-54.00,72.00,20.00,109.66
2019-02-21 22:23:25 UTC,17,24.88,62.65,83.35,14.00,-58.00,72.00,20.00,47.44
2019-02-21 22:24:46 UTC,18,9.72,25.88,39.09,15.00,-53.00,73.00,20.00,25.14
2019-02-21 22:26:06 UTC,19,3.23,7.73,11.16,16.00,-53.00,73.00,20.00,7.73
2019-02-21 22:27:26 UTC,20,0.37,2.30,2.70,18.00,-52.00,73.00,20.00,2.30
2019-02-21 22:28:45 UTC,21,0.37,0.78,1.76,19.00,-54.00,74.00,20.00,0.78
2019-02-21 22:30:05 UTC,22,0.37,0.78,1.76,20.00,-53.00,74.00,20.00,0.78
2019-02-21 22:31:25 UTC,23,0.37,0.78,1.76,22.00,-52.00,74.00,20.00,0.78
2019-02-21 22:32:45 UTC,24,0.37,0.78,1.76,23.00,-52.00,74.00,20.00,0.78
2019-02-21 22:34:05 UTC,25,0.37,0.78,1.76,24.00,-52.00,74.00,19.00,0.78
2019-02-21 22:35:25 UTC,26,0.37,0.78,0.44,26.00,-52.00,74.00,19.00,0.78
2019-02-21 22:36:45 UTC,27,0.37,0.02,0.24,27.00,-53.00,74.00,19.00,0.02
2019-02-21 22:38:05 UTC,28,0.37,0.02,0.24,28.00,-54.00,75.00,19.00,0.02
2019-02-21 22:39:26 UTC,29,0.37,0.02,0.24,30.00,-56.00,75.00,19.00,0.02
2019-02-21 22:40:45 UTC,30,0.37,0.02,0.07,31.00,-52.00,75.00,19.00,0.02
2019-02-21 22:42:05 UTC,31,0.37,0.02,0.07,32.00,-53.00,75.00,19.00,0.02
2019-02-21 22:43:25 UTC,32,0.37,0.02,0.07,34.00,-53.00,75.00,19.00,0.02
2019-02-21 22:44:45 UTC,33,0.37,0.02,0.42,35.00,-53.00,75.00,19.00,0.02
2019-02-21 22:46:06 UTC,34,0.37,0.02,0.42,36.00,-54.00,75.00,19.00,0.02
2019-02-21 22:47:25 UTC,35,0.37,0.02,0.42,38.00,-53.00,75.00,19.00,0.02
2019-02-26 17:58:14 UTC,36,1.00,1.00,1.00,0.00,-54.00,65.00,23.00,1.00
2019-02-26 17:59:34 UTC,37,1.07,1.96,2.00,1.00,-53.00,65.00,23.00,1.96
2019-02-26 18:00:53 UTC,38,0.52,1.04,1.57,3.00,-55.00,65.00,23.00,1.04
2019-02-26 18:02:13 UTC,39,0.80,1.61,2.22,4.00,-57.00,66.00,23.00,1.61
2019-02-26 18:03:33 UTC,40,1.26,1.80,2.57,5.00,-59.00,66.00,22.00,1.80
2019-02-26 18:04:53 UTC,41,0.55,1.68,2.43,7.00,-58.00,67.00,22.00,1.68
2019-02-26 18:06:13 UTC,42,1.11,2.19,2.19,8.00,-54.00,67.00,22.00,2.19
2019-02-26 18:07:33 UTC,43,0.44,1.40,1.60,9.00,-60.00,68.00,22.00,1.40
2019-02-26 18:08:53 UTC,44,0.64,1.51,1.87,11.00,-58.00,68.00,21.00,1.51
2019-02-26 18:10:13 UTC,45,0.64,0.11,0.11,12.00,-56.00,68.00,21.00,0.11
2019-02-26 18:11:33 UTC,46,0.64,0.11,0.11,13.00,-59.00,69.00,21.00,0.11
2019-02-26 18:12:53 UTC,47,0.64,0.22,0.22,15.00,-58.00,69.00,21.00,0.22
2019-02-26 18:14:16 UTC,48,3.48,8.54,10.43,16.00,-59.00,70.00,21.00,8.15
2019-02-26 18:15:33 UTC,49,91.02,234.63,326.57,17.00,-60.00,70.00,20.00,156.28
2019-02-26 18:16:54 UTC,50,121.76,318.93,461.69,19.00,-56.00,70.00,20.00,211.64
2019-02-26 18:18:14 UTC,51,109.68,286.22,400.66,20.00,-55.00,71.00,20.00,189.85
2019-02-26 18:19:33 UTC,52,135.13,366.93,514.53,21.00,-58.00,71.00,20.00,243.80
2019-02-26 18:20:53 UTC,53,206.00,617.64,905.60,23.00,-57.00,71.00,20.00,410.94
2019-02-26 18:22:14 UTC,54,268.36,989.53,1549.58,24.00,-56.00,71.00,20.00,658.82
2019-02-26 18:23:33 UTC,55,249.40,863.02,1304.40,25.00,-59.00,72.00,20.00,574.51
2019-02-26 18:24:53 UTC,56,113.85,309.30,448.85,27.00,-59.00,72.00,19.00,205.33
2019-02-26 18:26:13 UTC,57,16.45,41.51,52.81,28.00,-58.00,72.00,19.00,34.60
2019-02-26 18:27:33 UTC,58,4.42,9.38,14.29,29.00,-58.00,72.00,19.00,9.38
2019-02-26 18:28:53 UTC,59,2.41,6.52,11.00,31.00,-58.00,73.00,19.00,6.52
