created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2019-02-20 17:24:03 UTC,1,0.50,0.50,0.50,0.00,-50.00,69.00,18.00,0.50
2019-02-20 17:25:23 UTC,2,1.70,2.78,3.80,1.00,-51.00,70.00,18.00,2.78
2019-02-20 17:26:43 UTC,3,2.02,3.22,5.87,3.00,-55.00,70.00,18.00,3.22
2019-02-20 17:28:03 UTC,4,2.13,3.87,5.76,4.00,-54.00,70.00,17.00,3.87
2019-02-20 17:29:23 UTC,5,2.24,4.70,5.28,5.00,-53.00,70.00,17.00,4.70
2019-02-20 17:30:43 UTC,6,1.36,3.13,4.29,7.00,-51.00,70.00,17.00,3.13
2019-02-20 17:32:03 UTC,7,2.94,5.53,5.91,8.00,-52.00,69.00,17.00,5.53
2019-02-20 17:33:23 UTC,8,1.96,4.20,5.29,9.00,-51.00,73.00,17.00,4.20
2019-02-20 17:34:43 UTC,9,1.91,3.46,3.70,11.00,-53.00,75.00,16.00,3.46
2019-02-20 17:37:25 UTC,10,2.46,2.85,3.54,0.00,-49.00,76.00,14.00,2.85
2019-02-20 17:38:39 UTC,11,2.87,4.58,5.27,2.00,-51.00,75.00,15.00,4.58
2019-02-20 17:39:59 UTC,12,2.30,5.33,7.41,3.00,-51.00,73.00,16.00,5.33
2019-02-20 17:41:20 UTC,13,2.51,4.76,5.87,4.00,-50.00,71.00,16.00,4.76
2019-02-20 17:42:39 UTC,14,3.94,6.38,7.17,6.00,-49.00,71.00,17.00,6.38
2019-02-20 17:44:00 UTC,15,2.57,6.02,6.45,7.00,-49.00,70.00,17.00,6.02
2019-02-20 17:45:19 UTC,16,2.35,3.86,5.76,8.00,-48.00,70.00,17.00,3.86
2019-02-20 17:48:00 UTC,17,2.70,5.43,5.61,11.00,-48.00,70.00,17.00,5.43
2019-02-20 17:49:19 UTC,18,2.43,4.74,5.98,12.00,-49.00,70.00,17.00,4.74
2019-02-20 17:50:39 UTC,19,2.80,5.38,6.56,13.00,-49.00,70.00,17.00,5.38
2019-02-20 17:56:12 UTC,20,2.79,4.85,5.21,19.00,-45.00,71.00,17.00,4.85
2019-02-20 17:57:19 UTC,21,1.96,3.53,4.22,20.00,-49.00,72.00,17.00,3.53
2019-02-20 17:58:40 UTC,22,1.72,4.15,4.80,22.00,-49.00,72.00,17.00,4.15
2019-02-20 17:59:59 UTC,23,48.24,127.80,188.89,23.00,-48.00,73.00,16.00,87.65
2019-02-20 18:01:19 UTC,24,218.63,735.12,1193.91,24.00,-47.00,73.00,16.00,489.07
2019-02-20 18:02:39 UTC,25,253.93,1020.82,1755.56,26.00,-47.00,74.00,16.00,679.73
2019-02-20 18:03:59 UTC,26,211.89,708.32,1168.73,27.00,-45.00,74.00,16.00,471.36
2019-02-20 18:05:20 UTC,27,81.87,211.15,321.39,28.00,-49.00,74.00,16.00,140.04
2019-02-20 18:06:40 UTC,28,35.24,86.35,126.09,30.00,-47.00,75.00,16.00,58.61
2019-02-20 18:07:59 UTC,29,15.04,38.62,53.40,31.00,-46.00,75.00,16.00,34.17
2019-02-20 18:09:19 UTC,30,6.26,16.30,22.36,32.00,-47.00,75.00,16.00,16.30
2019-02-20 18:10:39 UTC,31,3.12,7.71,12.46,34.00,-46.00,75.00,16.00,7.71
2019-02-20 18:11:59 UTC,32,1.58,3.96,5.73,35.00,-46.00,75.00,16.00,3.96
2019-02-20 18:13:19 UTC,33,0.46,1.91,3.15,36.00,-47.00,75.00,16.00,1.91
2019-02-20 18:14:39 UTC,34,0.11,1.02,1.83,38.00,-48.00,75.00,16.00,1.02
2019-02-20 18:15:59 UTC,35,0.38,1.16,2.13,39.00,-47.00,75.00,16.00,1.16
2019-02-20 18:17:19 UTC,36,0.38,0.93,1.80,40.00,-46.00,75.00,16.00,0.93
2019-02-20 18:18:39 UTC,37,0.02,0.66,1.57,41.00,-43.00,75.00,16.00,0.66
2019-02-20 18:19:59 UTC,38,0.02,0.42,0.93,43.00,-45.00,75.00,16.00,0.42
