created_at,entry_id,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2019-02-27 17:37:56 UTC,1,0.00,0.00,0.00,1.00,-50.00,68.00,20.00,0.00
2019-02-27 17:39:16 UTC,2,0.00,0.00,0.00,3.00,-51.00,69.00,20.00,0.00
2019-02-27 17:40:36 UTC,3,0.00,0.00,0.04,4.00,-48.00,69.00,20.00,0.00
2019-02-27 17:41:56 UTC,4,0.00,0.00,0.69,5.00,-49.00,69.00,20.00,0.00
2019-02-27 17:44:05 UTC,5,0.00,0.00,0.00,0.00,-52.00,68.00,20.00,0.00
2019-02-27 17:45:20 UTC,6,0.00,0.00,0.04,2.00,-50.00,68.00,20.00,0.00
2019-02-27 17:46:40 UTC,7,0.00,0.00,0.04,3.00,-50.00,68.00,20.00,0.00
2019-02-27 17:48:00 UTC,8,0.00,0.00,0.02,4.00,-52.00,68.00,20.00,0.00
2019-02-27 17:49:20 UTC,9,0.00,0.00,0.30,6.00,-50.00,68.00,20.00,0.00
2019-02-27 17:50:40 UTC,10,0.00,0.00,0.07,7.00,-52.00,68.00,20.00,0.00
2019-02-27 17:52:00 UTC,11,0.00,0.00,0.07,8.00,-51.00,68.00,20.00,0.00
2019-02-27 17:53:20 UTC,12,0.00,0.24,0.30,10.00,-55.00,68.00,20.00,0.24
2019-02-27 17:54:40 UTC,13,0.00,0.60,0.60,11.00,-55.00,69.00,21.00,0.60
2019-02-27 17:56:00 UTC,14,0.65,1.07,1.24,12.00,-57.00,69.00,20.00,1.07
2019-02-27 17:57:20 UTC,15,87.00,219.00,298.12,14.00,-55.00,70.00,20.00,147.30
2019-02-27 17:58:40 UTC,16,172.35,483.28,690.40,15.00,-56.00,70.00,20.00,321.35
2019-02-27 18:00:00 UTC,17,135.33,351.02,488.76,16.00,-57.00,70.00,20.00,233.29
2019-02-27 18:01:20 UTC,18,88.61,211.16,288.27,18.00,-53.00,70.00,20.00,140.11
2019-02-27 18:02:40 UTC,19,54.12,124.81,165.23,19.00,-55.00,71.00,20.00,82.42
2019-02-27 18:04:00 UTC,20,57.93,136.70,184.13,20.00,-55.00,71.00,20.00,91.09
2019-02-27 18:05:22 UTC,21,158.93,428.44,602.40,22.00,-52.00,71.00,20.00,284.67
2019-02-27 18:06:40 UTC,22,128.57,341.13,481.36,23.00,-53.00,71.00,20.00,226.55
2019-02-27 18:08:00 UTC,23,54.90,125.41,166.63,24.00,-55.00,71.00,20.00,83.83
2019-02-27 18:09:20 UTC,24,16.37,30.57,37.11,26.00,-53.00,71.00,20.00,29.00
2019-02-27 18:10:40 UTC,25,83.17,204.60,274.38,27.00,-53.00,72.00,20.00,137.53
2019-02-27 18:12:00 UTC,26,211.52,731.48,1085.63,28.00,-58.00,72.00,20.00,486.85
2019-02-27 18:13:23 UTC,27,211.87,729.65,1088.37,30.00,-52.00,72.00,20.00,485.57
2019-02-27 18:14:40 UTC,28,132.47,362.70,503.33,31.00,-55.00,72.00,20.00,240.95
2019-02-27 18:16:00 UTC,29,38.85,92.40,121.43,32.00,-56.00,72.00,20.00,63.28
2019-02-27 18:17:20 UTC,30,10.26,24.98,32.48,34.00,-53.00,72.00,19.00,24.12
2019-02-27 18:18:40 UTC,31,2.59,6.66,8.27,35.00,-54.00,72.00,19.00,6.66
2019-02-27 18:20:00 UTC,32,0.85,2.64,3.72,36.00,-54.00,73.00,19.00,2.64
2019-02-27 18:21:20 UTC,33,0.29,2.24,3.00,38.00,-53.00,73.00,19.00,2.24
2019-02-27 18:22:43 UTC,34,0.29,0.52,0.83,39.00,-54.00,73.00,19.00,0.52
2019-02-27 18:24:00 UTC,35,0.29,0.52,0.28,40.00,-51.00,73.00,19.00,0.52
2019-02-27 18:25:20 UTC,36,0.29,0.15,0.26,42.00,-54.00,73.00,19.00,0.15
2019-02-27 18:26:40 UTC,37,0.29,0.15,0.26,43.00,-53.00,73.00,19.00,0.15
2019-02-27 18:28:00 UTC,38,0.29,0.15,0.26,44.00,-53.00,73.00,19.00,0.15
2019-02-27 18:29:20 UTC,39,0.29,0.15,0.26,46.00,-54.00,73.00,19.00,0.15
2019-02-27 18:30:40 UTC,40,0.29,0.15,0.26,47.00,-54.00,73.00,19.00,0.15
2019-02-27 18:32:00 UTC,41,0.29,0.15,0.26,48.00,-53.00,73.00,19.00,0.15
2019-02-27 18:33:20 UTC,42,0.29,0.15,0.26,50.00,-54.00,73.00,19.00,0.15
2019-02-27 18:34:40 UTC,43,0.29,0.15,0.26,51.00,-56.00,74.00,19.00,0.15
2019-02-27 18:36:00 UTC,44,0.29,0.15,0.26,52.00,-55.00,74.00,19.00,0.15
2019-02-27 18:37:20 UTC,45,0.29,0.15,0.26,54.00,-54.00,74.00,19.00,0.15
2019-02-27 18:38:40 UTC,46,0.29,0.15,0.26,55.00,-53.00,74.00,19.00,0.15
2019-02-27 18:40:00 UTC,47,0.29,0.15,0.26,56.00,-55.00,74.00,19.00,0.15
2019-02-27 18:41:20 UTC,48,0.29,0.15,0.26,58.00,-53.00,74.00,19.00,0.15
2019-02-27 18:42:40 UTC,49,0.29,0.15,0.26,59.00,-53.00,74.00,19.00,0.15
2019-02-27 18:44:01 UTC,50,0.29,0.15,0.26,60.00,-51.00,74.00,19.00,0.15
2019-02-27 18:45:20 UTC,51,0.29,0.15,0.26,62.00,-51.00,74.00,19.00,0.15
2019-02-27 18:46:40 UTC,52,0.29,0.15,0.26,63.00,-53.00,74.00,19.00,0.15
