CAMS 1068 Nitric Oxide Summary Report for 2020
Austin North Interstate 35 C1068 - EPA Site: 48_453_1068
Nitric Oxide (POC 1) measured in parts per billion
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
01/01/2020,4.6,3.6,1.2,3.2,4.6,6.3,4.3,7.2,4.9,4.5,8.4,7.8,6.8,5.5,6.4,6.4,6.8,8.6,4.1,1.0,2.1,7.1,5.6,5.4
01/02/2020,5.0,6.8,5.4,8.8,10.1,16.1,23.1,12.2,49.8,47.9,42.0,38.9,35.6,29.1,25.7,25.6,17.4,20.8,5.7,6.7,6.5,38.4,44.8,56.1
01/03/2020,33.5,16.9,0.9,2.3,0.3,0.9,1.0,0.6,1.2,1.4,1.2,0.8,0.5,0.2,0.2,0.2,0.2,-0.1,-0.0,0.0,0.1,0.0,-0.1,0.1
01/04/2020,0.0,0.0,0.3,0.1,0.3,0.5,1.4,0.8,1.4,1.2,0.7,0.6,0.3,0.1,0.1,0.1,2.3,7.4,30.1,29.5,29.6,22.2,25.1,14.8
01/05/2020,27.0,SPN,SPN,1.0,0.8,0.8,1.3,3.4,1.6,1.5,4.7,4.3,3.8,6.4,2.9,4.3,7.4,10.9,16.8,22.4,15.2,41.0,21.8,19.7
01/06/2020,2.2,1.5,10.0,16.7,10.6,16.4,29.8,72.4,125.9,52.3,17.7,17.9,13.8,9.7,10.6,10.3,13.3,24.5,29.5,55.6,26.2,0.6,0.6,0.5
01/07/2020,0.5,0.8,0.5,0.5,0.5,0.3,0.4,0.7,2.5,3.4,11.9,13.8,11.1,13.3,3.0,7.6,11.9,31.6,50.5,52.2,94.0,136.1,157.3,151.1
01/08/2020,133.4,113.4,85.5,53.5,39.9,60.4,116.2,134.5,122.0,50.9,29.3,21.2,13.6,PMA,PMA,10.8,10.4,13.0,14.3,12.5,8.1,7.1,7.2,7.0
01/09/2020,5.3,7.6,5.9,5.0,6.4,9.9,13.6,11.7,9.3,11.3,11.9,9.5,11.1,12.0,9.7,12.3,10.4,10.2,11.8,11.2,11.9,9.1,9.6,7.0
01/10/2020,5.8,5.0,5.6,4.4,7.2,7.1,10.8,8.3,9.5,11.9,10.0,10.9,11.1,12.9,9.5,8.9,9.2,9.0,12.5,11.8,3.3,0.5,0.4,0.4
01/11/2020,4.0,1.8,0.5,0.3,0.6,0.5,0.6,0.6,0.7,0.9,0.9,0.8,0.9,0.8,0.7,0.6,0.5,0.7,13.3,39.3,28.7,30.0,25.8,19.7
01/12/2020,18.2,CAL,CAL,CAL,CAL,11.1,7.9,17.3,20.9,16.7,14.2,10.9,12.2,8.1,9.9,10.3,10.1,20.1,35.6,42.6,33.3,29.7,22.3,25.8
01/13/2020,19.0,25.6,12.4,6.9,15.6,30.4,43.8,30.6,28.4,37.2,47.7,42.1,33.5,34.5,47.6,33.4,25.6,35.8,38.3,46.7,41.2,38.3,25.0,27.5
01/14/2020,21.1,16.2,45.0,7.9,20.4,44.6,65.2,31.7,60.1,66.0,71.8,69.6,57.3,45.9,29.3,18.6,22.3,33.3,44.1,55.8,48.4,36.2,31.1,16.2
01/15/2020,12.9,9.5,9.8,9.5,9.0,16.8,25.9,18.7,26.8,18.5,12.6,10.1,12.4,13.5,12.4,12.1,10.9,22.8,35.8,47.3,33.2,44.7,36.0,35.2
01/16/2020,25.9,27.2,13.2,10.5,15.8,26.9,34.5,1.1,1.9,1.8,2.2,2.6,7.5,6.1,4.6,3.3,3.0,3.3,3.5,9.0,4.4,14.1,3.0,1.8
01/17/2020,1.1,3.1,1.4,2.0,2.1,1.2,3.0,6.3,6.0,6.7,7.8,5.9,7.6,7.5,27.7,30.9,30.3,19.3,14.6,31.5,60.2,41.9,44.5,32.0
01/18/2020,10.2,11.7,9.2,2.6,6.8,1.3,12.7,35.5,21.0,0.9,0.8,0.7,0.8,0.5,0.6,0.4,0.5,0.9,0.4,0.1,0.2,0.3,0.3,0.2
01/19/2020,0.3,SPN,SPN,0.3,0.1,0.1,0.1,0.2,0.7,1.4,5.0,4.6,6.5,6.6,4.9,4.0,4.6,4.7,0.1,0.1,0.2,0.1,0.1,0.1
01/20/2020,-0.1,0.5,0.4,0.2,0.1,0.1,0.2,4.0,11.7,8.0,13.8,15.0,12.9,11.4,12.5,9.7,14.1,20.4,36.1,38.7,42.2,28.4,20.6,10.4
01/21/2020,11.1,10.3,21.4,19.4,4.3,31.2,53.9,37.5,36.8,34.6,29.6,22.2,17.7,15.0,17.4,15.3,14.3,15.0,19.5,18.6,11.6,13.1,9.2,10.3
01/22/2020,11.3,8.7,8.3,9.8,11.3,15.9,16.7,16.9,20.1,QAS,QAS,QAS,QAS,QAS,23.4,22.4,22.3,26.7,32.0,40.6,23.0,1.5,13.1,14.4
01/23/2020,3.7,0.9,2.0,2.4,0.2,0.2,0.5,1.3,0.5,0.8,0.9,0.8,0.8,0.8,1.1,0.7,1.5,5.7,30.4,40.7,45.8,22.7,25.6,34.5
01/24/2020,35.9,26.2,18.3,13.5,8.2,3.7,25.1,25.8,17.4,6.3,2.3,10.4,10.4,10.3,15.5,16.8,13.9,19.4,38.2,52.5,36.3,37.8,24.1,23.2
