CAMS 1605 Ozone Summary Report for 2018
St. Edwards University C1605 - EPA Site: 48_453_1605
Ozone (POC 1) measured in parts per billion
Data from this instrument does not meet EPA quality assurance criteria and cannot be used for regulatory purposes.
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
01/01/2018,21,21,22,22,22,22,23,22,25,24,25,26,27,27,27,27,27,26,25,26,26,25,27,27
01/02/2018,27,27,26,27,26,26,25,24,22,21,23,23,24,26,23,23,24,23,23,23,24,22,20,18
01/03/2018,15,12,10,9,9,10,11,8,11,16,17,19,23,27,30,31,32,22,16,18,17,8,6,9
01/04/2018,8,7,9,7,8,8,8,5,5,11,14,22,24,31,32,33,32,27,17,15,15,8,10,18
01/05/2018,24,25,20,15,18,14,8,8,11,13,21,24,31,35,37,38,37,33,21,17,16,19,22,23
01/06/2018,27,23,11,5,6,1,3,0,3,19,24,28,35,37,35,36,35,28,19,24,27,34,34,31
01/07/2018,30,31,31,30,29,29,27,23,22,24,30,36,37,36,35,34,32,29,23,20,16,20,19,22
01/08/2018,23,26,27,28,28,29,29,27,27,28,31,33,35,36,36,37,37,34,30,26,22,22,23,20
01/09/2018,22,22,20,19,17,16,8,5,4,12,19,21,26,32,35,38,38,30,21,18,20,25,25,23
01/10/2018,21,20,23,24,21,20,19,LST,LST,LST,LST,LST,FEW,31,36,40,39,35,32,30,29,27,27,26
01/11/2018,25,22,21,24,20,15,7,6,9,18,24,32,35,34,22,22,20,22,22,27,28,29,29,29
01/12/2018,29,28,28,28,28,28,27,27,28,30,30,31,33,34,35,35,33,31,23,19,23,26,25,24
01/13/2018,21,21,19,21,15,14,14,13,19,21,23,25,26,28,31,31,31,28,19,13,13,16,16,16
01/14/2018,11,8,5,7,1,3,8,6,9,21,23,26,32,35,37,42,45,43,28,13,24,24,28,22
01/15/2018,16,15,16,11,9,14,15,8,10,13,23,29,34,34,35,37,34,32,29,30,31,24,19,24
01/16/2018,28,27,29,28,28,30,29,29,28,28,28,30,31,33,33,34,33,33,32,32,31,30,30,30
01/17/2018,30,28,24,23,22,19,16,16,16,23,25,25,27,28,28,28,29,26,20,13,12,10,8,11
01/18/2018,15,17,20,19,20,17,10,8,12,10,16,18,25,26,25,26,27,27,24,20,22,23,20,18
01/19/2018,17,18,19,18,17,15,10,10,8,7,11,18,20,19,23,21,21,21,17,11,5,6,3,3
01/20/2018,12,19,12,11,17,18,13,4,4,6,10,16,23,26,25,25,25,24,14,13,5,1,4,11
01/21/2018,17,16,17,22,23,22,20,18,19,19,18,22,26,27,28,28,27,26,22,17,15,14,12,15
