CAMS 171 Monthly PM-2.5 (Local Conditions) Summary Report for March 2020
Austin Webberville Road AF171 - EPA Site: 48_453_0021
PM-2.5 (Local Conditions) (POC 3) measured in micrograms per cubic meter (local conditions)
Data from this instrument meets EPA quality assurance criteria for regulatory purposes.
Central Standard Time
Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
03/01/2020,4.0,0.0,5.0,3.0,6.0,3.0,3.0,3.0,6.0,6.0,5.0,8.0,3.0,10.0,11.0,9.0,7.0,8.0,7.0,8.0,8.0,7.0,5.0,6.0
03/02/2020,9.0,9.0,11.0,8.0,8.0,13.0,13.0,13.0,QAS,AQI,18.0,12.0,17.0,14.0,19.0,17.0,15.0,12.0,14.0,16.0,19.0,17.0,18.0,12.0
03/03/2020,12.0,14.0,14.0,15.0,12.0,13.0,16.0,15.0,25.0,23.0,15.0,19.0,16.0,17.0,19.0,16.0,16.0,20.0,17.0,16.0,12.0,15.0,13.0,13.0
03/04/2020,15.0,14.0,14.0,15.0,17.0,13.0,12.0,-1.0,-1.0,1.0,4.0,4.0,6.0,5.0,5.0,4.0,5.0,4.0,7.0,1.0,7.0,-3.0,7.0,4.0
03/05/2020,9.0,5.0,4.0,3.0,5.0,8.0,8.0,0.0,8.0,5.0,6.0,7.0,9.0,5.0,7.0,6.0,1.0,3.0,1.0,9.0,8.0,12.0,19.0,14.0
03/06/2020,11.0,8.0,3.0,10.0,6.0,4.0,7.0,3.0,5.0,6.0,5.0,7.0,4.0,3.0,3.0,4.0,2.0,6.0,6.0,4.0,6.0,5.0,6.0,9.0
03/07/2020,7.0,14.0,15.0,10.0,6.0,7.0,10.0,10.0,6.0,8.0,17.0,18.0,13.0,15.0,10.0,11.0,7.0,13.0,10.0,7.0,7.0,13.0,13.0,11.0
03/08/2020,10.0,11.0,10.0,11.0,15.0,11.0,9.0,9.0,8.0,9.0,7.0,10.0,7.0,8.0,5.0,4.0,6.0,4.0,3.0,6.0,4.0,3.0,4.0,7.0
03/09/2020,5.0,4.0,10.0,5.0,7.0,9.0,7.0,8.0,7.0,6.0,6.0,11.0,10.0,12.0,8.0,12.0,6.0,7.0,11.0,7.0,9.0,9.0,5.0,6.0
03/10/2020,6.0,7.0,4.0,5.0,5.0,6.0,9.0,7.0,12.0,8.0,19.0,9.0,12.0,9.0,9.0,10.0,9.0,13.0,12.0,8.0,13.0,12.0,10.0,11.0
